richardama	------|--|
clerseclergie	----||------|
chiualiersecheual erie	---------||------⌫---|
pa rnuit erroutcummepariur	--⌫|---|-----|----|--|--|
unkesderi ennen	----|-|--⌫-|--|
ma intfa ntos meuit e	--⌫--|--⌫----⌫-|--||
u nquesderi ennesesf reia	-⌫----|-|--⌫-|-||---⌫---|
purnul erienque il uei st	--|---⌫|---|--|-|---⌫-|
nenuit n e	-|---|-⌫|
iurpournel	--|---|-||
purceo kilerrout par	--|--||-|-----|--|
al outlagent delui disant	--⌫--|-|---|-|--|-----|
keautr e siclerpar nuit ueeit	-|----⌫-⌫-|---|--|---|----|
autrespar iurfai sei t	-----|--|--|---⌫---⌫|
custum e aueitquant	------⌫|----|----|
achascunmustie rk i ltruuout	|------|------⌫||-⌫|------|
seilp oeit ded e nz entrou t	-|-|-⌫---|---⌫-⌫-|------⌫|
s ilnepoe itd eforsurout	|-|-|---⌫-|-⌫----|----|
unenuit uint a	--|---|---||
unmus tier	-|---⌫---|
orer uoleit edeupreier	---|-----||--|-----|
lui n zd e sa g en talout pensa nt	---⌫-⌫|-⌫|-|-⌫--⌫|----|-----⌫-|
arierealo uenteauant	-----|---⌫---||----|
aregn adefors	-----⌫|-----|
d edenz troua	-⌫----|----|
en b iereu ncors	-|-⌫---|-⌫|---|
iust e la biere a uant	----⌫|-|----|-⌫---|
d euantlautels agenuila	-⌫----||----||-------|
s urunleitrun	-⌫-|-|------|
sesua nzieta	--|--⌫-|---|
partirlesoblia	-----|--|----|
ba isal aterresiura	--⌫--|-⌫|----|-|--|
unkesderiennesesfreia	----|-|---|-||------|
nia ueitgueire sdemuré	||-⌫---|------⌫|------|
neguaire sniauei testé	-|------⌫|||----⌫|----|
q uant elm ustieroia riere	-⌫---|-|-⌫-----|-|-⌫----|
m oueirle corsc r uist re	-⌫----|-|---|-⌫-⌫----⌫-|
tur n aseipurlecorsueeir	---⌫-⌫|--|--|-|---|----|
d ist ilnete moueir	-⌫--|-|-|-|-----|
b on eumale ch o se	-⌫--⌫||---|--⌫-⌫-|
gisteien peis siterepo se	--|--|-|---|-|-|----⌫-|
d un c aliquens saurisundite	-⌫--⌫||-|----|-|-----|---|
nesai sefugran de upetite	-|--|-|-|----⌫-||-----|
puis distqu antilseignasun	---|---|--⌫--|-|-----|--|
alreturnerdi luecdistta nt	-|-------||-⌫---|---|--⌫-|
deu sent esmai nsmalm ecum an t	---⌫|-|-⌫-|---⌫-||---⌫|---⌫--⌫|
sespe epristsisen turna	|----⌫|----|-||-|----|
eli deables sesdrec a	|-|------||------⌫|
enc untrel	---⌫----||
usfuen esta nt	-|-|-|----⌫-|
braze s tenduzestutdeuant	---|-⌫-⌫-----|----|-----|
c umme s i luousi st rich ard p r endre	-⌫---||-⌫|-----⌫-|----⌫--|-⌫-⌫----|
el ei ssu e de	||--⌫---⌫|-|
l us defend re	|-|------⌫-|
ericarda lebrandsachié	|-----||-|----|------|
lebuli a par mitren chié	-|-|-||---⌫-|----⌫----|
t ra uer slabierel abati	-⌫--⌫---⌫|-|----||----|
