o tzzempereeur	-⌫|-|--------|
quiotnondyoclecienil	--|-|--|---------|-|
de c el e famelifu	-|-⌫--⌫|---|-|-|
remesz zhoirmaslel	----|-⌫|---|----||
emperierefu	--------|-|
uieletli e nfesot	---|-|-|-⌫---|-|
ia yyanzz z iou r	-|-|--|-⌫|---⌫|
e mperieres lesyysages	-⌫--------|--|-|----|
parleurnons	--|---|---|
seig neursdit	----⌫----|--|
bai lleraimon	---⌫-----|--|
f ilz pouraprendre et	-⌫--|---|-------|-|
pourendoutri ner	---|--------⌫--|
liain znezparl aauant	-|---⌫---|----⌫|----|
et fule plus r iche	-|-|-|---|-⌫---|
mieulze mpare nté	-----|-⌫-----⌫---|
grei gneurlig nage et fu	----⌫----|---⌫---|-|-|
ausi bla ncconmelaineet	---|---⌫-|----|----|-|
etotnon b ancilla s	-|-|--|-⌫-------⌫|
c ilsetor na uer s l	-⌫-|-|---⌫-|---⌫||
empereeur etparl aa lui	--------|-|----⌫||--|
manieresirefetiluous	------|---|--|-|---|
lemeb aillero iz	-|-|-⌫-------⌫-|
ieli ferai sau o ir	-|-|----|---⌫-⌫-|
quanque iesai	------|-|--|
qua nquemicompai gnon	---⌫---|-|------⌫---|
seuenten y y anzapres	-----|-|-⌫|--|----|
seleualiseconz	-|---|-|-----|
tropg rantne	---|-⌫---|-|
troppetit ainz	---|----|---|
etdebelletai lle et	-|-|----|---⌫--|-|
f u entremellez	-⌫|----------|
dechien nes	-|-----⌫--|
blancpassoit le noiret	----|------|-|---|-|
o t nonancilles	-⌫|--|-------|
cil u i tl emp ere eur si	--|-⌫-⌫||---⌫---⌫--|-|
lidistsire	-|---|---|
moi lebailleroizetie	--|-|---------|-|-|
l i fera isauoirquanque	-⌫|----⌫|-----|------|
etqu anque mi	-|--⌫----|-|
compaignon	---------|
seue ntenyyan zapres	----⌫-|-|-|--⌫|----|
leual i tierz	---|-⌫|----|
unsme grespeti z	--|--⌫---|----⌫|
ch eueus crespes	--⌫----|------|
nonlentilluset d ist	--|--------|-|-⌫--|
lempereeur	|--------|
sire quanque	---|------|
quanque micomp ai gnon	------|-|----⌫--⌫---|
feraisauoire n	----|-----|-⌫|
yyanz bailliezlemoi	-|--|-------|-|--|
q uarzse l eua em piez	-⌫---|-|-⌫--|-|---|
e mpe reeur	-⌫---⌫----|
et ot nonmalcuidarzl i	-|-|--|---------|-⌫|
roisuns gabierr es	---|--|-------⌫-|
qu iuolentiersescharni ss oit	--⌫|---------|--------⌫--⌫--|
