lapremi ere rebr iche	-|-----⌫--|----⌫---|
cy commencel aucteursonli ureintitulédusonge	-|-------||------|--|--⌫--|--------|-|----|
pelerin adres sié au blanc faucon pelerinaub ecet pies	------|-----⌫---|-|----|-----|------|-|-⌫-|-|---|
recitans c om mentard ant d esi racompa ignéd esa	-------|-⌫--⌫---|---⌫--|-⌫---⌫|------⌫----|-⌫|-|
su erbon ne	--⌫-|---⌫-|
esperan ceprinsenfigurepour le uiel pelerin en	-------⌫-|----|-|-----|---|-|---|------|-|
pe r s onnede	--⌫-⌫-⌫---|-|
tousceulxqui	---|----|--|
desirent quel emo ndeet par	-------|--|-⌫|--⌫--|-|--|
especial la	-------|-|
crest ientesoi entreformé	-----⌫----|---⌫--|-------|
faire parl ecommandement	----|--|-⌫|-----------|
deproui d encediuinee mpren t songrant	-|-----⌫-⌫---|-----|-⌫-----⌫|--|----|
uoiagepo ur tr o u uer	-----|--⌫-|--⌫-⌫-⌫--|
souuerai nsalkemi stes et multiplierle	--------⌫-|------⌫---|-|---------|-|
besantd e leuuangile	-----|-⌫||--------|
assauoirpourt rouer ueriteacomp aigneede troys uertus	-------|---|-⌫----|-----|-----⌫-----|-|----|-----|
neccessairesp aix misericorde	-----------|-⌫--|----------|
etiusticeles quelles	-|------|--|------|
granttem ps	----|---⌫-|
asees toientpartie s	|-|--⌫-----|------⌫|
mondeet premieremen tlaucteur	----|-|-----------⌫||------|
descriptlabi tdard an tdesiret de	-------||---⌫||---⌫--⌫|----|-|-|
sasuerbonne esperance	-|---|----|--------|
l epremi erchapitre	-⌫|-----⌫-|-------|
qu ant arda ntdesiragrantloisi renlasusdicte	--⌫--|----⌫-|----||----|-----⌫|-|-|-------|
chappel eoten	-------⌫|-|-|
soncuer bienr ecapi t ulélegracieuxserm on de	--|---|---|-⌫-----⌫-⌫---|-|-------|----⌫-|-|
prouidencedi uine	---------|--⌫---|
fureco nforte ́ilditen esperita	-|----⌫------⌫|-|--|-|------||
sasuerbonn e	-|---|----⌫|
