ainzkelamalege nt dep erse	-----|-|---|--⌫-|-|-⌫---|
ui n drent arumetantauerse	--⌫-⌫----||---|---|-----|
purde struirecumunement	--|--⌫------|---------|
ladi gneteo ue	-|--⌫----|-⌫-|
ert uns uisd an z	--|--|----⌫--⌫|
multr e n ume ́	---|-⌫-⌫-⌫---⌫|
descelie nsen	--|-----⌫-|-|
ki esteitadaneclame e	-|-----|----|-----⌫|
iglise iout r enumee	-----||--|-⌫-----|
delacheresaintemarie	-|-|----|-----|----|
la dameertmu ltbelserui e	-|---|--|--⌫-|--|-----⌫|
l iuisdanzertd iceleiglise	-⌫|------|--||----|-----|
epenoutseiel	|-----|--|-|
deuse ruise	--|--⌫----|
celi enuntan un	----⌫-|--||-⌫-|
uneterr eest sicumioen tend	--|----⌫|--|-|--|-|--⌫---|
lacitees t	-|---|--⌫|
si renume e	-|------⌫|
d eues quesadane c lamee	|----⌫---|----|-⌫----|
u liuisdanzestmu ltpreisie ́	|-|------|--|--⌫-|-------⌫|
nusfa imes cesttrait e	--|--⌫---|---|-----⌫|
theophleoutanunueir ement	-------|--||--|----⌫----|
cuntin tsei mult	------⌫|--|---|
curtei sement	------⌫-----|
multert degrantrelligiu n	---|--|-|----|--------⌫|
de murs e tde conuersiun	-|---|-⌫|-|---------|
aueitmultgrantpu isance	----|---|----|--⌫-----|
desoneuesqueenbienuoillance	-|--|------|-|------------|
si ser uisuneuesque agre	-|---⌫-|--|------||--|
kedeltut fist sauol ente	-|--|--|---|-|---⌫---|
desiglises desapenti z	--|------|--|------⌫|
deuinsert sagesdesescriz	-----|--|----|--|-----|
d e l pople deureinablement	-⌫-⌫|----|--|-----------|
re fisttutson comandement	--⌫---|--|--|----------|
le uesqu esentremistderien	|-⌫-----⌫||--------|-|---|
pur ceokec illesgua rdabien	--|--|-|-⌫-||-----⌫--|---|
en de ulesest r uistnuit eiur	-|--⌫|--|---⌫-⌫---|---||--|
buntepar grantd u c ur	----|--|----|-⌫-⌫-⌫-|
sike ligranteli petit	-|-|-|----||-|----|
amoent le de qu erparfit	-----|-|-|--⌫-|-----|
eseruirent	|--------|
l ecums eignur	-⌫|--|-⌫-----|
pargran tchert epa rgra nt	--|----⌫|-----⌫|--⌫|---⌫-|
et as orphen in s	-|-|------⌫--⌫|
eta s poures	-|-⌫|-----|
ert acl in s	--|---⌫--⌫|
atuz trouala g ua risun	|--|----|-|-⌫--⌫----|
ki e rentensasubiect iun	-|-⌫---|-|-|-------⌫--|
auintkemurutli p as tur	----|-|----|-|-⌫--⌫--|
k i ert euesquedicelho nur	-⌫|--|------||---|--⌫--|
siecle uiureplus	-----|----|---|
lalmerendi al ciellas us	|---|----|-|---|-|-⌫-|
apreslamortdicest ba run	----|-|---||----|--⌫--|
uindrentl i cle rc d enui run	-------|-⌫|---⌫-||----⌫--|
elipopletutensement	|-|----|--|-------|
tind rentduncung rantpa rlement	----⌫---|---|-|-⌫---|--⌫------|
leuisdanzde	-|------|-|
qu eramerent	--⌫-|------|
parcumun cunseilesguarder ent	--|----|------|---------⌫--|
k eeu esque	-⌫|--⌫----|
serreit del honur	------|-||----|
purceoqu il ertde grantua lur	--|--|-|-|--|-|----|--⌫--|
degra ntcunseil deg rantc uintise	-|---⌫-|------|-|-⌫---|-⌫------|
grant bien asaintei g lise	----|---||-----|-⌫-⌫---|
quantil eurent	----|-|-----|
s iesguarde ́	-⌫|--------⌫|
euesq ue lunt mustré	-----⌫-||--|------|
quantliout oi	----|-|--|-|
les granz bunteztheofili	--|----|-----|-------|
ses al monesl affectiun	--|--⌫----||--------|
duncgran talurpeticiu n	---|----⌫-|--|-------⌫|
ecomandak ilamenassent	|------||-|---------|
