porrades ein eporra	----|-|-⌫-|-⌫|----|
est ot poi ndreetbroch er	---⌫-|---⌫---|-|-----⌫-|
et nosproesce s	-|--|-------⌫|
refrescher	---------|
meusuoil fait ilp erdre	---|---|---|-|-⌫----|
quen iface chau aleree	--|||---|----⌫-----|
c um lo fer um	-⌫-|-|---⌫-|
lesuentaillesdesl acerum	--|---------|----⌫-----|
parestr unlestest eschanues	-------⌫-|--|----⌫-|------|
elesgra nsbar be sencr eues	|--|---⌫-|---⌫--⌫|----⌫---|
e sem blara	|---⌫----|
bengrantdomage	--|----|-----|
qua ntnosp oindru m parloriuag e	---⌫-|--|-⌫------⌫|--|-|-----⌫|
quarunq uesmai s	---|---⌫--|---⌫|
sic oms emble	-|-⌫-|-⌫----|
t aus ge ns ne futiust eeense m ble	-⌫--|--⌫-|-|--|----⌫-|----⌫-⌫--|
ga rdé t que deuersles chanut	--⌫----⌫|--|-----|--|-----|
sienlies torzbenmai nte nut	---|-|--⌫---|--|---⌫---⌫--|
i aitfaitcoar die	|--|---|----⌫--|
deuersla nostregent	-----|-|-----|---|
la ouerrumgrainordes treit	-||-----|------|---⌫----|
poi numensembl e ben es treit	---⌫--|-------⌫|--|--⌫----|
neredotumialesgar cos	-|------|-|--|---⌫--|
nes re mang e	--|--⌫----⌫|
u nsent re s	-⌫-|---⌫--⌫|
queil sac hen cert e nement	--|-|---⌫--|----⌫-⌫-----|
que l ireisfa itle n uaiment	--|-⌫|---|--⌫-||-⌫-⌫------|
nostreield euenge	-----|----⌫|----|
lopetit p as par	-|----|-⌫-|--|
q uesi elnostornea	-⌫-|-|-|--|----||
des tre ce	---⌫---⌫-|
ilocseitnostre	---|---|-----|
atotplotc oq edistl irex	|--|---|-⌫|-⌫|---|-⌫|--|
distliunsalautreengr ezeis	---|-|--|||----|-|--⌫----|
marunte sté enta nte poine	--|--|-⌫---|-|--⌫--|----|
si l ifaillent d i stebesoine	-|-⌫|-------||-⌫--|------|
liueil sunt	-|---|---|
p arenlor iou ent	-⌫-|-|--|---⌫--|
atal i oioe rentsouent	|--|-⌫|---⌫---|-----|
les uentailles unt	--|---------|--|
deslac ees	------⌫--|
con tremun t drecees	---⌫------⌫|------|
rememb relorde luasalatge	------⌫-|--|--⌫|--------|
queilorentel	--|-|----|-|
eesest reisforment safich ent	|-|---⌫---|------||-----⌫--|
eu s cheuausesperonsfichent	--⌫|------|-------|------|
d euant le pe it tra entlestarge s	-⌫----|-|--⌫-|---⌫--|--|-----⌫|
queilorent e	--|-|----||
for zelarges	---⌫||-----|
meslesplusorssun tsifumees	--|--|------|---⌫|-|-----|
po rla besoin	--⌫|-|-----|
su nt encheries	--⌫-|--------|
o lchefdauant ce ntgrai l les sonent	-⌫|---|-----|--⌫-|----⌫-⌫--|-----|
coarthardimentdonent	----|--------|-----|
fremistl i cels fremistla	------|-⌫|---|------|-|
benresem bl edes	--|-----⌫--⌫|--|
ore guerre	--|-----|
a ttexotl escheu auxhenir	-⌫---|-|-⌫-|----⌫--|----|
g ardatreseu i tlosu e nir	-⌫---|--|-|-⌫-⌫|--|-⌫-⌫--|
uaétfait ilcumgrant com p aine	----|---|-|--|----|---⌫-⌫---|
nosuent d oelles	--|---||-----|
p arcaplaine	-⌫-|-|-----|
ot exrespontqui	--⌫-|------|--|
fu td eiuste	--⌫|-⌫-----|
grosmotdire gaires ne	---|--|---|-----|-|
ma s p arla	--⌫|-⌫-|-|
feiquege deiuos	--|--|-|--|--|
oelleseuosl os	-----||--|-⌫-|
uosmuer étestal	--|----⌫--|----|
certmoltlaite	|--|---|---||
gra ntmeruell e	---⌫-|-------⌫|
quelalousfuepo r	--|-|---|--|--⌫|
atante steuosl os esfans	----|-⌫--|--|-⌫-|-----|
ot pasé c ent ans	-|----|-⌫--|--|
uncnefutm ais par	--|-|--|-⌫--|--|
meneeator nei	----||---⌫--|
isiserr é cumil iuin dr ent	--|----⌫-|--|-||---⌫--⌫--|
unquesa inc ei s renn ene tindrent	-----|-⌫---⌫--⌫|----⌫|-|-------|
laissen t p orpaorde morir	-------⌫|-⌫-|---|-|----|
quen esaugentde bot ferir	--||-|-----|--⌫--|----|
edesla ncesedesespees	|--|--⌫---||--|-----|
uelmoltgr anscolees	--|---|--⌫--|-----|
cildedensn el p oent sofrir	--|-----|-⌫||-⌫---|-----|
si lo restot lec h a m pguerpir	-|--⌫|----|-|-⌫-⌫-⌫-⌫|------|
les dostornentetcillesserent	--|--|------|-|--|--|-----|
entr esq p or tesn eslais erent	----⌫--|-⌫--⌫--||-|----⌫----|
direuosdei	---|--|--|
cumbatirenceil t ornei	-------|-|---|-⌫----|
en unest amfiaras	-|-|--|-------|
qi fu tfaitsentomas	-|--⌫|---|--|----|
uulcanslofitporgrans porpens	------|-|--|--|----|------|
etfa ire mistlun g	-|--⌫--|---|---⌫|
p a rgrante parcons eil	-⌫-⌫|----||--|----⌫--|
luneelo so l eil	---||-|--⌫-⌫--|
gettalo firmamen t	----|-|--------⌫|
en la m aorle ss i gnesmist	-|-|-⌫--|--⌫|-⌫-⌫---|---|
elsa ltresset	--|-⌫----|--|
q i su ntmenors	-⌫|--⌫-|-----|
f ist lespla netesetlescors	-⌫--|--|---⌫----|-|--|---|
asi stenmeilo	---⌫-|----|-|
terreemer p arfonde	----||--|-⌫------|
en t errepeint omes	-|-⌫---|----|---|
enmer peissosuensetempestes	-|--|------|---||--------|
qui lafisica uoltentendre	--|-|-----|---|-------|
espeintures potmot aprendr e	-|--------|--|--|-------⌫|
liiaan sunt	-|---|---|
enl au trepart	-||--⌫--|---|
tuit plendorgoiled ebuban	---|---||-----||-⌫|----|
lesdeuxuolentdel cels	--|---|-----|--|---|
epa rforcee sc els monteir	|--⌫|----|-⌫|-⌫--|------|
apoientsus	|-----|--|
unfait e sc heles	-|---|-⌫--⌫----|
unc omqiuiue	--|-|-|---|
neuit tale	-|--|---|
qua rs ur unpuiunt	---⌫|-⌫-|-|--|--|
iaplusde s ept enunt a si s	-|---|-|-⌫--|-|--|-⌫--⌫|
e puent s us p or les	|----|-⌫-|-⌫-|--|
deusprendr e	---|------⌫|
p oen tdelsd efendre	-⌫---⌫||--|-⌫------|
iupite re s tdela utr epart	------⌫|-⌫-⌫|-||-⌫---⌫|---|
tint unafoldree	---|--|-----||
marsepaula s s untena pres	---||-----⌫|-⌫--|-|-⌫---|
oil sostenent to tlo fei s	|-|--------|--⌫|-|---⌫|
tuitliautre qi elcelregnent	---|-|----|-|-|--|------|
isn ell e mentlora rmesp rennent	---⌫---⌫-⌫---|--|-⌫---|-⌫------|
e usniaqui	-⌫-||||--|
prengeessoine	-----|------|
pecherredetotl	-------|-|--||
que ie mettotenuo stre esgart	--|-|--|--|-|--⌫---|-----|
siuosloez gem en irei	-|--|---|-||-|---|
s iuosuo lez ger ema ndrei	-⌫|--|--⌫--|-|-⌫---⌫----|
c orespont li	-⌫|------|-|
come nt sera ici	----⌫-|----⌫|-|
p oisqu e nosuint tel au en ture	-⌫-----⌫|--|---|--|--⌫--⌫---|
que terreno s fait	--|----|--⌫|---|
ni a s ifolqueben	|||-⌫|--|--|--|
quedexneama	--|--|-|--|
pasceste uoie	--|----|---|
pesq uedexne m euoltcestefa ir e	----⌫-|--|-|-⌫|---|----|--⌫--⌫|
cu mlaqu idez	--⌫|-|--⌫---|
cheftraire	---|-----|
qu icontragulun eschaucire	--⌫|----|-----|---------|
dosfezsepoint	--|--|-|----|
totens l oidire	-|---||-|---|
tantcum no ssomes sidiliu re	---|--|--⌫|----|-|-----⌫-|
melz lotornerengreceeuiure	---|-|-----|-|----||----|
l aou isqerenttuit n ostreaiue	-⌫||-⌫-------|---|-⌫----|---|
quec i mor i ra	--|-⌫|---⌫-⌫||
i t alglaiue	-⌫-⌫-|-----|
tuit li pluisoralducs	---|-|------|-|--||
edel tornerlo	|--|-----|-|
rei enno en t	--|----⌫--⌫|
estgres amouer	--|---||----|
n eiras anz grantestouer	-⌫|--|-⌫--|----|------|
liconsdamiches ot	-|---||------|-|
enamené molt	-||----|---|
grantiafor	----|----|
moltpresaplus c haual e rie	---|----|---|-⌫-----⌫-⌫--|
queriueirene berserie	--|------|-|-------|
edonergran t copenestorn	|----|----⌫|--|-|-----|
c has sealer	-⌫---⌫-|---|
e nguer re	-⌫|----⌫-|
e n tot los t	-⌫|--||--⌫|
nenotmelor	|-|-|----|
ne quit antsache	-|--|-⌫--|----|
lir ex degrecel otmolt	-|-⌫-|-|----||-|---|
quarendest reitb ienle	---|-|----⌫---|-⌫--|-|
etfut molt pros agrant	-|--|---|---||----|
