ce screaturesq ueioueila	--⌫|--------|-⌫-|-|--|-|
fist deu pur	---|--|--|
homm ese ruir	----⌫|--⌫---|
ehon o rer.	|---⌫-⌫--||
ueirditGirarsçone	---|--|-----|--|-|
ennu l e ter requeseitdeçala	-|--⌫-⌫|---⌫-|--|---|----|-|
ne purr eit len si	-|----⌫--||-|-|
belesr ecouerer.	----|-⌫-------||
s io reueoltKarlespar	-⌫|-⌫-|----|-----|--|
mo n conseil	--⌫|------|
il lesfra tuteshautementmarïer.	-|--|--|----|--------|------||
Lia postoileneueu t mes targier.	-|-⌫-------|-|---⌫|--|------||
sesar cheuesquesestrel	--|--⌫---------|----||
a ut r eclergie r	-⌫--⌫-⌫|-------⌫|
afair e e lur mestier .	-----⌫||--|------||
prem ie rement les	----⌫--⌫-----|--|
firent prinseig nier	-----|--------⌫---|
a p réslu r firentlurm a n tel sdes lacier	-⌫-⌫---|--⌫|-----|--|-⌫-⌫-⌫---⌫|---⌫-----|
sengle sas chemise sanzautrereconse r	------⌫|-|------|---|----|-------⌫|
Les funt leiurenz	--|---|-|--|--|
escuuesplungier	-|----|-------|
ilueclesfir entbaptizieretleuer.	----|--|---⌫--|--------|-|----||
reïnefi rentsuen n un changier	-----|--⌫---|---|-⌫-|-------|
Cl areic e otnu nme smult faitapre is ie r	--⌫-----⌫|-|--⌫|--⌫|---|---||---⌫--⌫--⌫|
apre ́ s les	----⌫-⌫|--|
fir enteu est irechaucier .	---⌫--||-⌫---⌫-||-------||
hui mesdeuum a	--|--|----||
Karlerepa irier	----|----⌫----|
kienk alabre f urentdui	-|-|-⌫-----|-⌫----|--|
meisentier .	---|-----||
igl isefistxxx	---⌫--|---|--|
i charnier	|-------|
usesmorzfistmettree	|--|---|---|-----||
ap areil lie r	--⌫-----⌫---⌫|
elehauthommes ileotauques	|-|---|----|-⌫|-|-|-----|
ic elsfist	--⌫--|---|
i lenterrer a lmustier.	-⌫|-------|-⌫|------||
tren te canoi nesifi stpurde u	----⌫-|-----⌫--||--⌫-|--|--⌫|
Oezque fistKarleslempereu r	--|--|---|-----||-------⌫|
par to tel	--|--⌫-||
osten f aitcriër un	--|-|-⌫--|-----|-|
kine s e autne	-|-|||--|-|
nelimenu r	-|-|----⌫|
nereineconte cheuali erne	-|--|-|----|-------⌫-|-|
Neriche ducne princene cun tur.	-|----|--|-|-----|-|---⌫--||
alur conseil uout	|--|------|---|
leissiersonh onor	-------|--|-⌫---|
Lempereur ne uoutplusdemorer .	|-------|-|---|---|------||
par l educNaimes e p ar leuiel otuel	--|-⌫|--|-----||-⌫-|-|---|----|
Fistl apostoileeleduc	---||--------||-|--|
Quec he scunsd	--|-⌫--⌫----||
els uiengealuiparler .	--|-----||--|-----||
unclapo stoileni	--||---⌫-----|||
osearester	--|------|
Les orden ezfistalo streturner	--|-----⌫-|---|-|-⌫-|-------|
efist as morsles al mescomander	|---|-|---|--|--⌫--|-------|
euetligli sed edieresac rer	|--||----⌫-|-⌫----||---⌫--|
eilmeïmesuet la	|-|------|--|-|
messe ch anter .	----|--⌫----||
la offerendepurle liu enorer	-|--------|--|-|--|-----|
n eliestut p uruiic	-⌫|-|----|-⌫-|--||
marsdoner.	---|----||
LeducGi rarsfistsu e n	-|--|--⌫---|---|--⌫-⌫|
eir eapr ester	---⌫|---⌫----|
Quemu lzque mul es	--|--⌫-|--|---⌫-|
xxxu i iassembler	--|-⌫-⌫|--------|
Le snouelesCrestïenesfa itaturner	--⌫|------|----------|--⌫-|------|
esilesfuntuestir e affu bler.	|-|--|---|-----||----⌫---||
unecre a tur enesorentpurp enser	--|---⌫-⌫---⌫|-|-----|----⌫----|
Dequeile n deiuefranchefemme	-|---||-⌫|----|------|----|
Quelunp ustconoi stre netru uer	--||-|-⌫--|-----⌫---|-|---⌫--|
Quelareïn eneface pre sent er.	--|-|-----⌫|-|---|---⌫----⌫-||
surunmulfunt la reïnemunt er	--|-|--|---|-|-----|----⌫-|
poipot lundesibelestruuer	--|--||-|-|-|----|-----|
unkesliducs nese	----|-|---|-|-|
uou tconseillier.	---⌫|----------||
pr ist la al freinsicome nçaa parler	--⌫--|-|-|----|-|----⌫---||-----|
sadruë rieoffri apres enter	-|-----⌫--|----||----⌫----|
