de uantuaunuble a	--⌫---|-------||
Rigaussiegemis	-----|----|--|
—On t il bi enientcedit l	|--⌫|-|--⌫-|---|-|--||
e mp ereriz.	-⌫--⌫-----||
damefoi que	---|--|--|
doi saintd enis	--|----|-⌫---|
bienso nt.i ii. m.decheualiersgentis.	---|--⌫-|--⌫--|-|-|---------|-----||
huimésde u onaBeg onr euenir	------|--⌫-⌫-||---⌫-|-⌫-----|
ri ch e seruiseenfistl empereriz	--⌫--⌫|------|-|---||--------|
Begon em p orte nt auloherang ari n	----|--⌫-⌫----⌫-|-|------|-⌫---⌫|
ardanele ssentenardenois sontmis	-----|--⌫----|-|-------|---|--|
en lohe r aine	-|----⌫-⌫---|
d autre partsont g anc hi .	|----|---|---|-⌫---⌫-||
decia gor denepristre ntonq uesfi n	-|-||---⌫-|-|-------⌫-|---⌫--|--⌫|
cesdamoiseleschantere tes baudir	--|---------|------|-⌫|--⌫-----|
halte estl afes te chascu ns la uialt	----|--|-⌫|---⌫-|------⌫-|-|----|
—Sain temariecedit lidus garins	|----⌫-|----|-|--|-|--|-----|
re ined amequilocorsde u	--⌫--|-⌫--|--|-|---|--⌫|
corsettrestozme s	---|-|------|--⌫|
L i cuers metram ble etme prent adolir	-⌫|----|-|----⌫--|-|-|----||----|
quil mest au isquil	-|-||--|--⌫-|-|-|
m e doie partir.	-⌫|---|-----||
dex secest	--|-||--|
medoie auenir	-|---|-----|
d onezlo moisi rep arte ns	-⌫---|-|--|--⌫-|-⌫-|--⌫-|
et dautrechose se toiplest mescremis	-||----|----|-|--|----||-------|
—diteslomoi douene zuos	|----|-|--|||----⌫|--|
—desaintamantdece nostrepaï s	|-|----|----|-|-|-----|----⌫|
m e um es nos	-⌫-⌫--⌫-|--|
nam ie xudis.	||-⌫-|-|--||
— Quexh omest	|---|-⌫-|--|
ceqancelebieregist	-||-|---|----|---|
Estilmalades onaurez	--|-|------||-----|
abe suo sl osaur oiz	---⌫|--⌫|-⌫|----⌫--|
Cestuostre sf reresdusBegu esdebelin	|--|------⌫|-⌫----|--|----⌫-|-|----|
en laforestFr omo nt	-|-|-----|--⌫---⌫-|
lo po steïf	-|--⌫-----|
Lo u os al endetran chié et	-|-⌫-|||-|------⌫----|-|
Liduslentent apo	-|--||-----||-|
nenraie uis	|-----|--|
grant duelet grantcri	----|---|-|----|--|
nesdeut onant ni	--|--|-⌫----|||
poist an oïr.	----|-|---||
Garinssepasmequen es enpotte nir	-----|-|----|--|-⌫||-|--|--⌫--|
aurele ueror oiezque	-|----⌫--|-|---|--|
po rcoibiaufrere u os a F ro mont	--⌫|--|---|----|-⌫-||-⌫--⌫---|
iadisoitil quilestoitnos tre	-|-----|-|-|-|-----|---⌫--|
nos e stiengu erroie ́	--|-⌫----|--⌫------⌫|
La p esfuf e ted eu an tloroi pepin .	-|-⌫-|-|-⌫-⌫-|-⌫--⌫--⌫|-|--|----||
oruosontmortian en puissent	-|--|--|---|-||-|-------|
mesp ar celui	--|-⌫-|----|
qui del eue fistuin	--|-||--|---|--|
