enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
e stap el ee syce	-⌫-|--⌫--⌫-|---|
auoitunro yquipelleu sestoit	----|-|--⌫|--|------⌫|-----|
ape lezqui moltest oi t	---⌫--|--|---|---⌫--⌫|
richeshoms et pui ssanzet	-----|---|-|---⌫----|-|
enginget bien	-----|-|---|
esto it siresdetoutesaterr e .	----⌫-|----|-|----|-|----⌫||
ice luipelleusauo it	---⌫--|------|---⌫-|
unfr ere quelenapeloiteson	-|--⌫--|--|--|------|---|
penelopequi auoit	-------|--|----|
unfilquiau oitnoniason	-|--|--|--⌫--|--|----|
es toit degran t	--⌫---|-|----⌫|
b i auteetdegrantp ri s et	-⌫-⌫---|-|-|----|-⌫--⌫|-|
estoitamez	-----|---|
les genzd ouroyau meso n	--|---|-⌫-|-----⌫-|--⌫|
ala la re nom eedelu i	--|-|--⌫---⌫-|-|--⌫|
pais . e t	---||-⌫|
q uant liroys	-⌫---|-|---|
pelleusuitqueses	------|--|--|--|
n iesestoittant amez	-⌫--|-----|---|---|
detout l e	-|---|-⌫|
pueple etde	-----|-|-|
entraengran tdoutance	----|-|----⌫|-------|
quei lnelitolsi st le	--|-⌫|-|-|-----⌫-|-|
royau me par	-----⌫-|--|
acordementde to tes	---------|-|--⌫--|
sesgenzetp armaintes	--|---|-|-⌫-|------|
porpensa c ommentille	-------|-⌫-----|-|-|
poist faire alerentel	----|----|---|-|--|
lieudo nti l	---|--⌫-|-⌫|
ne poistiamais	-|----|-----|
r et orner	-⌫--⌫----|
un ior auint aune	-|--|----||--|
hautefesteq ue	----|----|-⌫-|
pelleustinst unegrantcort	------|----|--|----|---|
etm olt iot etdes unset	-|-⌫--||-|-|--|--|-|
autre s si	-----⌫|-|
apelaias on	----|---⌫-|
son ne ueuet lidistbiaxniesmolt	--|--⌫--|-|-|---|---|---|---|
fezaloere t	--||---|-⌫|
apri sieretmo ltte doiz	|---⌫---|-|--⌫-|-|---|
tu iespl ains	-|--|--⌫---|
degra ntproesce	-|---⌫-|------|
etdegrantbiauteet	-|-|----|-----|-|
bontee tmolt e st	----|-⌫|---|-⌫-|
renomeeespandue par	------|-------|--|
mainz royaum e sque	----|------⌫-⌫|--|
le schosesdequoitut	--⌫|-----|-|---|-||
i es entremisa s eu	-⌫-|-------|-⌫|-|
toutadeslonor e tlauictoire.	---|---||---|-⌫|-|-------||
