kere sforez	--|-⌫|----|
montaignes	---------|
dontmoutiaplus	---|---|||---|
ue itlonfo lez	--⌫-|--|--⌫--|
et sater eaus	-|-----⌫---|
bestess a uuageset oisea u s	-----|-⌫-⌫-----|-|-----⌫-⌫|
demilmanieres etde	-|--|-------|-|-|
prete mesius	-----⌫-----|
etterepe x uns suens cosins	-|------⌫|--|----|-----|
anduierent ioenulesmeschins	----|----|-------|-------|
gent pro zetbeaus et	---|---⌫|-|----|-|
enseigniez	---------|
etentozlieusbien afaitiez	-|-|--|----|---|-------|
milcheu aler s i	--|----⌫----⌫||
am enerent	--⌫------|
quiunqu esl anc esneporterent	--|----⌫-|-⌫---⌫-|-|--------|
maisdarz tren chanz definacier	---|---|----⌫----|-|--|----|
etgranza sco nesporlancier	-|----|-⌫---⌫--|--|------|
for zarstorqueisgentdesarmee	---⌫|--|-------|---|-------|
nepueta u eir	-|---|-⌫-⌫--|
a cezduree	|--|----|
cist naffreren tma in t cheualer	---|---------⌫|--⌫--⌫|-------|
etoci strentma intbu e n de strier	-|---⌫-----|--⌫--|--⌫-⌫|--⌫-----|
det eusuo ssu iiebien deuins	-|-⌫--|--⌫|--⌫|-|---|-----|
a inzquelisiegesa it	-⌫-----|-|-----|-⌫-|
iu int xxx	|-⌫--|--|
etmescer es	-|------⌫-|
cistnerentmiechastelant	---||----|--|---------|
ne uaua ssor d e	-|----⌫---|-⌫|
bass e main	----⌫|---|
ain z erentreiricheet p uissanz	---⌫|----|--|----|-|-⌫------|
forzethardizet conbat an z	---|-|-----|-|------⌫--⌫|
ci sta men e ren t teus	--⌫-|-⌫---⌫-⌫---⌫|---|
furen t apar eillie s	-----⌫|----⌫------⌫|
chascunsena e nsaconpaigne	-------|-||-⌫|-|--------|
se t cenz ni a	--⌫|---||||
aitenseign e	--|-------⌫|
euamedac i erresplendisant	----||--⌫-⌫-|------------|
et es pee buenee ttrench ant	-|--⌫--|----|-⌫|------⌫--|
deboeteiuinta simas	-|----||---|-⌫----|
fortinsle prozetsanias	------|-|---|-|-----|
con tees teienticist tuittrei	---⌫-|--⌫-----|----|---|---|
ma isne seporterentuncfei	--⌫-|-|-|--------|--|--|
sestei entguerrei é	|-----⌫--|-------⌫-|
mais or s e steie nta ma is ié	---|-||-⌫-----⌫-|-⌫--⌫--⌫--|
porguarnir troie co ntr egre xs	--|------|----|--⌫---⌫|---⌫-|
mi lcheualer saduistrenttexs	--⌫|--------⌫|---------|---|
n ia unsolqui	|||-|--|--|
faceiamau uaistiede sei	---|-|---⌫------|-|--|
cis t ferunt deteuseissues	---⌫|-----|-|---|------|
seru ntpaumesbatues	----⌫-|-----|-----|
etdegrant regn edebotine	-|-|----|----⌫|-|-----|
terre sa uuage ou tr emar ine	----|--⌫----|--⌫--⌫|---⌫--|
uintboeteset ep istroz	---|-----|-|--⌫-----|
etche ualerssetcenz etproz	-|---⌫-----|--|---|-|---|
fre re esteien tic ist germain	---⌫-|-------⌫|--⌫--|------|
out faitpain	--|---|---|
especesbuenese t	------|-----|-⌫|
fruizprecios etueneis ons	----|------|-|------⌫--|
au e ientamangierapris	--⌫-⌫---||------|----|
cha scunauei tcheual depr is	---⌫---|----⌫|-----|-|--⌫-|
espie tre nchantescu	----|---⌫-----|---|
moutaurontainz cist gra nt essoin e	---|-----|---|---|---⌫-|------⌫|
q ue l a ui le guerpissentmai s	-⌫-|-⌫|--⌫-|----------|---⌫|
iusquedaguerreseit	-----|-|-----|---|
depafagloneune cont ree	-|--------|--|----⌫--|
estpoiren omee	--|--|---⌫---|
k ersie st lo inuersle soleil	-⌫-|-|-⌫-|--⌫-|---|-|-----|
