enlenorn ostresegnior	-||---|-⌫----|------|
q uie stperesefi lz esainzesperiz esi	-⌫-|-⌫-|----||--⌫-||----|------||-|
estunsdeus en	--|--|---|-|
tro isper sones	---⌫-|---⌫----|
eelnomdel aglorio s e meremadame	|-|--|-|-⌫|------⌫-⌫|---|-|---|
sa nctem arie uoi lcome ncerlestoires i cu ml i	--⌫---|-⌫---|---⌫|----⌫---||------|-⌫|--⌫|-⌫|
bonsemp e reires ka rlema ine se nalaen	---|---⌫-⌫-----|--⌫-----⌫---⌫|-⌫|--|-|
espagnieper	-------|--|
laterre conquerresore sarrazins .	-|----|--------|---|--------||
maintes genz sienont	------|---|-|-|--|
oichan terecontermesn	-|----⌫--||-----|--||
estsim anc ongie nonco quilen	--|-|-⌫---⌫----|--|-|-|-|-|
dienteen chantentcilio gl eorne cilconteor	----||-|-------|--|--⌫--⌫--|-|--|------|
nus contesri més no e st uer ai s	--|-----|--⌫---|-|-⌫-|---⌫--⌫|
estm an congiecoquilendientc ar	--|-⌫--⌫-----|-|-|-|-|----|-⌫-|
i ln en sieue nt rien z f ors	-⌫||-|-----⌫-|----⌫|-⌫--|
quantper oirdire .	----|--|--|---||
libonsbaudoins li	-|---|-------|-|
cuensch ainausia m amoltkarlemainesin	----|--⌫----|-|-⌫-⌫|---|---------|-||
onquescro irechoseque	-----|---⌫--|----|--|
lomenchanta st.	--|-|------⌫-||
ainzenfitcer chiertotesl esbonesabe iesdefrance	---|-|--|---⌫----|----|-⌫-|----|---⌫--|-|-----|
eesgard erpe rtoz lesarmairesper	|------⌫-|--⌫|--|--|-------|--|
sauer silom	----|-|--|
i troueroitlaueraieistoirenionquestro uer nel	|--------|-|-----|------|-|-----|---⌫--|-||
iporent licle rc	|-----|-|---⌫-|
-tantau intapres queuns sisclerssi	|---|--⌫--|----|--|--|--|----|-|
alaen bo rg ogn ie	--|-|--⌫--⌫---⌫-|
perquer el	--|----⌫||
tot i ssi cum	--|-⌫--|--|
adeuplot silatroua	|--|---|-|-|----|
asanz enbo rg o gnieic e leestoiredomeinam e n tque	|---|-|--⌫--⌫-⌫---|--⌫-⌫-|------|--------⌫-⌫-⌫|--|
turpinsli bonsarc euesqu es	------|-|---|---⌫------⌫-|
de re m pz	-|--⌫-⌫-|
espagniequi	-------|--|
auoec l eb onempereorfu.	----|-⌫|-⌫-|-------|-||
e totl e con questquilfiteles	|--|-⌫|---⌫----|-|-|--||--|
mira clessicumli aue noientleior si	----⌫---|-|--|-|---⌫-----|-|--|-|
lesesc riuoitlanuiteleiorqu ant	--|---⌫-----|-|---||-|--|--⌫--|
il en auoitlei sironte nfeitmieuz c il	-|-|----|---⌫--|--|-⌫|---|----|-⌫-|
acroi re quihifu e	|----⌫-|--|-|-||
qu ileuit que ne f ontcilquirienz	--⌫|-|--|--|-|-⌫--|--|--|----|
nen seue ntforsquant	|-|----⌫-|---|----|
-li clersauboncontebaudoi ncontreescr itl	|-|----|-|--|----|------⌫|----------⌫-||
estoiree ason	------|||--|
segniorlaporta qu i	------||-----|--⌫|
m oltlatintengrantchertetantc um	-⌫--|-|---|-|----|-----|---|-⌫-|
i l u es qui .	-⌫|-⌫--⌫--||
e qua ntils otqu ildut morirsienuoia	|---⌫-|-|-⌫-|-|-|--|----|-|-----|
son li ureasa seror	--|--⌫--||-|----|
a lab one iolental a	|-|-⌫--|-----||-⌫|
contessedesaint pouesilimanda que	-------|-|----|--||-|-|----|--|
per amordelui gardastleliuretant	--|---|-|--|------|-|----|---|
labonecontesse	-|---|-------|
s e hagardéle	-⌫|-|-----|-|
liu re iusqua hore or e.	---⌫-|----||---|--⌫||
me proiequ eiel e m etede	-|----|--⌫|-|-⌫|-⌫--|-|
l atinenroma n zsanz	-⌫---|-|----⌫-⌫|---|
