unemaniere de gents ont	--|------|-|---|-⌫--|
loi alsamblantfont	---⌫-|-------|---|
bie n conseilce l er	---⌫|------|--⌫-⌫-|
qu ilse couient	-|-|-|------|
ui entqu au cunssides cueu re	--⌫--|-|--⌫---|||---⌫----⌫-|
amor etl ueure	---|-||----|
si lespa ndent parlepais	-||----⌫----|--|-|---|
puis enfontl orgasetlor	---|-|---|-⌫-|--|-|--|
siauientquecilioieenpert	-|-----|--|--|---|-|---|
quileconseil	--|-|------|
a descouuert	|---------|
quartant com l amor est plusgrant	---|---|--||---|--|---|----|
sontplusmari lifinama nt	---|---|---|-|--|---⌫-|
quantliuns dau sdelautrecroit	----|-|--||--⌫|-||----|----|
ditcequecelerdoit	--|-|--|----|---|
etsouenttelmes chief	-|-----|--|---⌫----|
que l amorfaillir encouint	--||---|------|-|-----|
ag rantd oloret a	|-⌫---|-⌫---|-||
u ergoin gne	-⌫------⌫--|
si comme il auint	-|----|-|----|
enborgoingn e	-|---------⌫|
dun cheualie rpr eu et hardi	|-|--------⌫|--⌫-|-|----|
etde ladame deuergi	-|-|-|---|-|----|
queunsc heu aliers tantama	--|--|-⌫---⌫-----|---|--|
que ladame liotria	--|-|---|-|----|
par ite lco nu enant s amor	--|---⌫|--⌫--⌫----||---|
qu i lseust	-|-⌫|----|
qualeu reetauior	-|||--⌫-|-|-|--|
que par luiseroitde s couue rt e	--|--|--|-----|--⌫-⌫-----⌫--⌫|
lor amor qu il	--|---|-|-|
a ueroitperte	-⌫-----|----|
et del amoretdel	-|-||---|-|-||
qu eleliauoit f et	-|--|-|----|-⌫-|
etaceleam o rot roier	-||---|--⌫-⌫|--⌫----|
deuise rent quenzzuergier	------⌫---|-|-|-|------|
l icheualie rstozior suendroit	-⌫|--------⌫-|--|---⌫|-------|
a utermeque	-⌫|----|--|
lim eteroit	-|-⌫------|
nese mouueroi t dunanglet	-|-|--------⌫||-|-----|
uerroitp arleuergieraler	------|-⌫-|-|------|---|
etlorsuenist	-|---|-----|
sanzdemorer	---|------|
en sachambreetsiseustbien	-|-|------|-|-|----|---|
quace leeuren i	-||--⌫-|---|||
auroit ri en	-----|--⌫-|
fors lada me	---|-|--⌫-|
tant seulement	---|--------|
f irent longue me nt	-⌫----|------⌫--⌫-|
et ful amor douc e	-|-||---|----⌫|
au snele sotriens	--⌫|-|-|--|----|
liche ualiersfubiauset cointes	-|---⌫------|-|----|-|------|
e tpar saualo rfua coint es	-⌫|--|-|----⌫|-|-⌫-----⌫-|
duducqui b o r goingne	-|--|--|-⌫-⌫-⌫------|
et souent aloitetuenoit	-|-----|----|-|-----|
a l acort et	|-⌫|---|-|
queladuchoise len ama	--|-|-------||-|--|
et lifistte lsambl antdamors	-|-|---|--⌫|-----⌫--||----|
quesiln eus tle cueraillor s	--||-||---⌫|-|---|------⌫|
biensepeustap er ceuoir	---|-|----|--⌫--⌫-----|
parsambla nt que	--|------⌫-|--|
mesquelsamblant que lenfeist	--|---|-------|--||-|----|
liche ualiers samblant nen fist	-|---⌫------|-------||-|---|
quepoi ne grant s aperceust	--|--|-|----||--------|
qu eil u ers	--⌫|-|-⌫--|
l i a moreust	-⌫|-⌫--|---|
ettantq u e leenot g r ant	-|---|-⌫|-⌫-|-|-|-⌫-⌫--|
quele parla	-|--|----|
r eson p ar	-⌫---|-⌫-|
sireuous es tes biaus	---|---|--⌫--|----|
ce dienttu it la	-|----|--⌫-|-|
dieu m erci	---|-⌫---|
si aueriezbiendeserui	-|------|---|------|
dauoiramiee ns ihautleu	|----|---|-⌫|-⌫|---|--|
que neussiez	-|-⌫|------|
honoretpreu	----|-|---|
qu ebien uousserroit	--⌫|---|---|------|
madamefetilie	-|---|--|-|-|
encore ace	-----||-|
mis e me nten te	---⌫||-⌫----⌫-|
parfo i dist ele longueatente	--|--⌫|---|--|-----|-----|
u ousporroitn uirece m estuis	-⌫--|------|-⌫---|-||--|--|
s i loqueuous	-⌫|-|--|---|
soiez a mis	----|-⌫--|
hau tleusi uous	---⌫|--|-|---|
isoiezbienamez	|----|---|---|
cilrespont ma dame parfoi	--|------|-|---|--|--|
s aimiebienporqoi	-⌫-|--|---|--|--|
u ousl ed ites ne	-⌫--|-⌫|-⌫---|-|
que cemo nte	--|-|--⌫--|
neien esu ineduc ne conte	-|-|-⌫|--⌫|-|--|-|----|
quisiha utem en tamerdoie	--|-|--⌫----⌫--⌫|---|---|
neiene nsuim ieayydo ie	-|-||-⌫|--|-⌫-||-|--⌫-|
