u nemanieredege nt sont	-⌫-|------|-|--⌫-|---|
quidestreloiaussamb lantfont	--||----|-----|----⌫---|---|
e t dec onseils i	-⌫|-|-⌫-----|-⌫|
seconuient eneus	-|-------|-|--|
etquantuien tqueon	-|----|----⌫|--|-|
sidecueure	||-------|
seu entlamoretlueure	---⌫--||---|-||----|
sil espandent pa r	-||--------|--⌫|
etsie nfontlor	-|-|-⌫|---|--|
si auientque cilioie	-|-----|--|--|---|
quilecons e ilad escouuert	--|-|----⌫-⌫-||-⌫--------|
q uetantcom	-⌫-|---|--|
lam orsestp lus	|--⌫--|--|-⌫--|
estplusmarrizlifinsaman z	--|---|-----|-|---|----⌫|
quantliunsd eus de l	----|-|--||--|-||
a utretroit	-⌫---|----|
quiladitce que cele rdoit	-|-||--|-|--|----⌫|---|
etsouuent telmechiefenuient	-|------|--|------|-|----|
quela mor f aillirencouient	--||-⌫--|-⌫-----|-|------|
a grantdolou ret	|----|-----⌫|-|
a uergoingne	|---------|
sicomila uinte nbourgoingn e	-|--|-|-⌫---|-⌫|----------⌫|
cheualierpre uet hardi	--------|---⌫|-|----|
et delad ame	-|-|-|-⌫--|
que li cheua l ierstantama	--|-|-----⌫-⌫---|---|--|
dame lio troia	---|-|-⌫----|
pariltelconuenantsam or	--|----|--------||--⌫-|
queellese ust qu a	--|---|--⌫--|-||
le ureeta ui our	|-⌫--|-|-⌫|-⌫--|
que parluis eroit	--|--|--|-⌫----|
d escouuerte	-⌫---------|
l eu ram orilia uroitperte	-⌫--⌫|--⌫-|-||-⌫----|----|
etdelamoret delotro i	-|-||---|-|-||----⌫|
queelleli auoit fetdesoi	--|---|-|----|--|-|--|
et acele amoro troi er	-||---|---|-⌫----⌫-|
deuiserentquenzzuergie r	---------|-|-|-|------⌫|
liche u aliers tozi orzu endroit	-|---⌫-⌫-----|--|-⌫--|-⌫------|
au termequele	-|----|-|--|
li metroi t	-|------⌫|
mouroitdunanglet	------||-|-----|
deuantque zzpetitchiennet	-----|--|-|----|-------|
uerroitpar	------|--|
leu ergieraler	-|-⌫-----|---|
et lor suendroit san z demorer	-|---⌫|-------|---⌫|------|
a lachambreque	|-|------|--|
seustbie n	----|---⌫|
quacelee uren iaro itrien	-||---|-⌫--|||---⌫-|---|
for s la dametantseulem en t	---⌫|-|---|---|------⌫--⌫|
fir entlonguement	---⌫--|---------|
etfulamors	-|-||----|
douce etcel ee	----|-|---⌫-|
queforseu snelesot nee	--|---|--⌫|-|-|--|--|
licheuliers fubiau s etc oint es	-|--------|-|----⌫|-|-⌫----⌫-|
etp a r saualor	-|-⌫-⌫|-|----|
er t ac ointes	--⌫|--⌫-----|
duducqui bor gong nete noit	-|--|--|---⌫----⌫-|--⌫---|
et souuen ta loit etuenoit	-|------⌫|-⌫---|-|-----|
tant i a la	---||-⌫-|
quela duc hesselen ama	--|-|---⌫----||-|--|
telsa nblant	--|--⌫-----|
quesiln e ust le c uer	--||-||-⌫--|-|-⌫--|
biensepeust	---|-|----|
aperceuo ir	--------⌫-|
ausamblantquel amastpor uoir	-|-------|--||----|--|---|
samblantqu	-------|-|
lic heualiers s amblant nef ist	-|-⌫--------|-⌫------|-|-⌫--|
ne gra ntsaperceust	-|---⌫-||--------|
q uel euers l uiamoreust	-⌫|--⌫|---|-⌫-|---|---|
ettantqu eeleen	-|---|--⌫|--|-|
ott elennui	-|-⌫-|----|
q ue ele e nparl azzi o ur	-⌫-|--|-⌫|----⌫|-|-⌫-⌫-|
etm istaresonpar tex	-|-⌫--||----|--|--|
sireuousestesb iaus et pr euz	---|---|----|-⌫---|-|--⌫--|
cedie nttuitla dieumerci	-|---⌫-|---|-|---|----|
s iaueriez b iendeser u i	-⌫|------|-⌫--|-----⌫-⌫|
dauoir amie	|----|---|
ensihaut li u	-|-|---|--⌫|
eu ssie zhonor et preu	--⌫----⌫|----|-|---|
quebien uos serroit	--|---|--|------|
ma da mefet ilienai	-|--⌫-|--|-|-||-|
cem i sementen te	-|-⌫-⌫-||-----⌫-|
elelongue ate n te	--|-----|---⌫-⌫-|
uousporroit n uireamonauis	---|------|-⌫---||--|---|
uoussoiez amis	---|----|---|
enzz hautleu	-|-|---|--|
seuo us ueez	-|--⌫-|---|
que uous isoiezbien	--|---||----|---|
madameparfoi	-|---|--|--|
ie ne saimiebie npor	-|-|--|--|---⌫|--|
cemedites nequecemont e	-|-|----|-|--|-|----⌫|
que ienesui	--|-|-|--|
neroisnecon te	-|---|-|---⌫-|
que si hautementamerdoie	--|-|--------|---|---|
dauoir amorsi	|----|---|-|
souuereinne	----------|
si iebienimetoie	-|-|---||-----|
s iestesfe teles ilauient	-⌫|----|--⌫|--||-|-----|
mai nte plus gr ant m eruelleauient	---⌫--|---|--⌫--|-⌫------|-----|
eta uteleauendraencore	-|-⌫----|------|-----|
ditesmoi que	----|--|--|
s a uez uousore	-⌫-⌫--|---|--|
seie uou s aimamo r	-|-|---⌫|-||---⌫|
qui suihautedame clamee	--|--|----|---|-----|
etcilresp onti lnelepas	-|--|----⌫--|-⌫-------|
mada meienelesepas	-|--⌫-|-|-|-|-|--|
mesieuo udroiuostreamor	--|-|--⌫----|-----|---|
auoir bienet par mon	----|---|-|--|--|
m es diexdeceleamo rmegart	-⌫-|---|-|---|---⌫|-|---|
quamoi nauoustor t	-||--|||---|---⌫|
hont emons eig nior gise	----⌫|--|-⌫---⌫---|---|
anul fer neanule	|--|--|-||---|
nepre ndroietelmespri son	-|---⌫-----|--|------⌫--|
fai re trai son	---⌫-|----⌫--|
siuilainn enesi	-|-------⌫|-|-|
ue r smondroitsegn iornatu ral	--⌫-⌫|--|----|----⌫--|----⌫--|
fi fet cele qui fu marie	-|--|---|--|-|----|
danzm esiauze tqui	---|-⌫-----|-⌫|--|
u ousenp rie	-⌫--|-|-⌫--|
ha fetcil mada me	-|--|--|-|--⌫-|
nuscertesmesta ntuo u s	--|-----|--|--⌫-|--⌫-⌫|
tint a lu ipl usplet	---||--⌫|--⌫-|---|
mes grantc ou rrouz etgra ntde hait	--|----|-⌫--⌫----|-|---⌫-|--⌫---|
enota u cuer	-|-|-⌫|---|
bien s e nu enger a	---||-⌫|-⌫-----⌫|
si fis t ele	-|---⌫|--|
fortm ent iree	-----⌫--|---|
