unemeniere de gent sunt	--|------|-|---|---|
quidestreloial samb lant	--||----|----|----⌫---|
sibienconsoilceler	-|---|------|----|
q uisecon uie nt	-⌫||-|---⌫---⌫-|
enausfie r	-|--|---⌫|
par coiaauson sedesqueuure	--|--||--|-|-|---------|
tantqu ils euent	---|-|-|-⌫----|
lamoret leuure	|---|-||----|
sil e sp e nde nt	-||-⌫--⌫-⌫---⌫-|
p arlepais	-⌫-|-|---|
eten fontlo r gasetlorris	-|-|---|--⌫|--|-|--|--|
sia uientquecil	-|-⌫----|--|--|
qu ileconsoilad escouu ert	--⌫|-|------||-⌫------⌫--|
cartantcom	--|---|--|
lamorsest plus	|----|--|---|
sont plusmarrili fin a mans	---|---|----|-|--|-⌫---|
quantli unsdax delautre	----|-|--||-|-||----|
quila itdi tce	-|-|-⌫-|--⌫|-|
que celerdoi t	--|----|---⌫|
souuanttexmes chi ez	------|--|---⌫---⌫-|
enau i ent	-|--⌫-⌫--|
q ue lamorfaliren couuie nt	-⌫-||---|----|-|------⌫-|
dou lor etau e rgoi ngne	---⌫--|-||-⌫-⌫----⌫---|
a u intenbergoingne	-⌫-⌫--|-|---------|
dunch eual ierpreuet	|-|--⌫----⌫--|---|-|
etdeladamedeu er gy	-|-|-|---|-|-⌫--⌫-|
qu e licheualierstantpri a	--⌫|-|---------|---|---⌫|
que ladame li otria	--|-|---|-|----|
p aritel conuenant s a mor	-⌫-|---|--------||-⌫--|
qu il seutqual	-|-|---|-|||
eureetau i or	---|-|-|-⌫-|
queparluiseroitd esc onue rte	--|--|--|-----|-⌫---⌫----⌫--|
loram ourquil	--|--⌫--|-|-|
auroitla per te	-----|-|---⌫-|
etdelotroi	-|-||----|
qu e le li ot faited esoi	-|-⌫-|-|-|----|-⌫|--|
etace leamorotroie r	-||--⌫-|---|------⌫|
deuiserent q u enu nuergier	---------|-⌫|-|-⌫|------|
l icheua lie rs touiorsuenro it	-⌫|-----⌫---⌫-|------|-----⌫-|
quele l i met roit	-|--|-⌫|---⌫---|
nenesemouuroitd	-|-|-|-------||
una inglet	-|-⌫-----|
d eci queun p etitchiennet	-⌫--|--|-|-⌫---|-------|
u erroit parl euergi er	-⌫-----|--|-⌫|-----⌫-|
et lorsuenroit sans de mourer	-|---|------|---|--⌫-----|
enla cham bresi sce utbien	-|-|----⌫--|-|---⌫-|---|
qua c ele heu re ni	-||-⌫--|---⌫-|||
aro it rien	---⌫-|---|
fors ladame t out seul em ent	---|-|---|-⌫--|----⌫--⌫--|
ein sis fontlor a cointeme n t	---⌫--|---|--|-⌫--------⌫-⌫|
et ful oramo rsi	-|-|-⌫-|---⌫|-|
qu e forseus nelesotrie nsnee	--⌫|---|--|-|-|--|---⌫-|--|
li ch eualier sfubiaxet	-|--⌫-------⌫|-|---|-|
etpour saualourfuacointes	-|---|-|-----|-|-------|
aud uc que bergoingnetenoit	-|-⌫-|--|---------|-----|
etsouuantaloit	-|------|----|
et ueno it	-|----⌫-|
a la c orte ttant i	|-|-⌫--|-⌫|---||
queladuchesselenama	--|-|-------||-|--|
etlifitt e lsam bl ant	-|-|--|-⌫-⌫|---⌫--⌫--|
cuer aillour s	---|-------⌫|
bie nse pouist	---⌫|-|-----|
apa rceuoir	---⌫------|
par sam blantquel amast po r uoir	--|---⌫----|--||----|--⌫|---|
maisquelsamblantqu eleenfeist	---|---|-------|-|--|-|----|
licheualierss amblantnenfist	-|---------|-⌫------||-|---|
que p ou negrants aparceust	--|-⌫-|-|----||--------|
queleuersli amoureust	-|--|---|-|----|---|
etta ntque eleen	-|--⌫-|--|--|-|
quelep arla	-|--|-⌫---|
zz iouralu i	-|---||--⌫|
etmista ra ison parmainsleus	-|---||--⌫---|--|----|---|
siresuousi est eset bia xetpreus	----|---|-⌫---⌫-|-|---⌫|-|----|
tuit ladieu	---|-|---|
si auriezbiend eceru i	-|-----|---|-⌫-----⌫|
d auoi r amiee nsihaut leu	|----⌫|---|-⌫|-|---|--|
queeneu s siezhonour etpreu	--|-|--⌫-⌫---|-----|-|---|
carbien uo s ser roittel	--|---|--⌫|---⌫---|--|
madamefai t	-|---|---⌫|
ilie naimie	-|-||-|--|
ce misem entente	-|---||------|
p ar foyfaitelelongueatente	-⌫-|--|---|--|-----|-----|
uo uspo urroit nuirecemetuis	--⌫-|--⌫-----|----|-||-|--|
silos queuoussoiez amis	-|--|--|---|----|---|
e nu n haut lie us eu ousueez	-⌫|-⌫|---|---⌫|-⌫|-⌫--|---|
queuos i soiezbienamez	--|--||----|---|---|
cil re spontmadame	--|--⌫----|-|---|
ie nesaimiebienpour	-|-|--|--|---|---|
uosleditesne quesemon te	--|-|----|-|--|-|---⌫-|
neie n esuis n e	-|-|-⌫|---|-⌫|
duc n econte	--|-⌫|----|
qu esihautement amer	--⌫|-|--------|---|
n eiene suis mie	-⌫|-|-|---|--|
damerdame sisouuerainne	|---|---|-|----------|
seiebienimestoiepainn e	-|-|---||------|-----⌫|
siies t es fait e le	-|---⌫-⌫-|---|-⌫-|
se sauie nt	-||----⌫-|
mainteplusgrant meruoi lleauient	-----|---|----|------⌫--|-----|
etautelauenraencore	-|----|-----|-----|
dit esmoiseuoussauez o re	---⌫-|--|-|---|----|-⌫-|
se ie uous aimamordo nnee	-|-|---|-||---|--⌫---|
quisu ishautedamehonoree	--|--⌫-|----|---|------|
e t cilres pontinellepas	-⌫|--|---⌫---|--------|
madameie nel e saipas	-|---|-|-|-⌫|--|--|
ma isieuou rroie uostr eamo ur	--⌫-|-|---⌫----|-----⌫|---⌫-|
auoir pa rbien etp ar hon our	----|--⌫|---|-|-⌫-|---⌫--|
mais deteleam or	---|-|---|--⌫-|
d exmegart	-⌫-|-|---|
nulior tourc elepar t	--|--|---|-⌫--|---⌫|
ou lahonte mo n	-|-|----|--⌫|
segnorgise	-----|---|
qu anulfeur	-||--|---|
nea nule guise	-||---|----|
n e prandroiete ldesrais on	-⌫|--------|--⌫|-------⌫-|
commede faire trais on	----|-|----|-----⌫-|
siuil ainn enesidesloial	-|---⌫----⌫|-|-|-------|
uersmondroit	---|--|----|
signor natu ral	-----|----⌫--|
cel e qu ifumarrie	---⌫|--⌫|-|-----|
dansmusars	---|-----|
etquiuous e nprie	-|--|---|-⌫|---|
ahidamepourdieumerci	--|---|---|---|----|
bienlesaimaistantuouse ndi	---|-|--|---|---|---|-⌫|-|
cel ene t ientaluiplusplait	---⌫|-|-⌫---||--|---|----|
courrous etgran t	-------|-|----⌫|
cueretsi pensa	---|-|-|----|
c elep eut biens en uengera	|--|-⌫--|---||-|------|
sifuelemoutcoureciee	-|-|--|---|--------|
la nuitkant ele fucouchi ee	-|---|---|--|-|------⌫-|
iousteleducasoupirer	-----|-|--||-------|
commensaetpu is aplorer	-------|-|--⌫-||-----|
et liduserrantli d em ende	-|-|--|-----|-|-⌫--⌫---|
que c es tquele aetl i	--||--⌫|-|--||-|-⌫|
c om mende	-⌫--⌫----|
que leli die	-|-⌫-|-|--|
maintenant	---------|
parfoyfait elei aideul grant	--|--|---|--||-|---|----|
dece quenesetnushaushon	-|-|--|-|--|--|---|--|
qu i foy liporte nequinon	--⌫|--|-|----|-|--|--|
mais p l usd ebie n set donn or	---|-⌫-⌫-|-⌫|---⌫-⌫|-||---⌫-|
quilortraito ursont	--|--|------⌫-|---|
etsi nes en aparco itnus	-|-|-||-|------⌫-|--|
d amefa itc e	-⌫--|--⌫-|-⌫|
ienesa iporcoi	-|-|--⌫|--|--|
mais dece s chosessuisieq u ites	---|-|--⌫|-----|---|-|-⌫-⌫---|
q ua nul feur iene soufferroie	-⌫||--|---|-|-|----------|
tr aitourseiel esauoie	--⌫-----|-|-|-⌫|-----|
haezdontf aitelece lui	---|---|-⌫--|--|--⌫--|
celn o mmaquine	-||-⌫-⌫--|--|-|
de moiproieraulonc	-|--|-----|-|---|
que ieli donnassem amour	--|-|-|-------||----|
etsi m edi tqu	-|-|-⌫|--⌫|-|
ila lonctens	-||---|---|
aestéens epourpens	|----|-|-⌫|-------|
onquesmais ne	-----|---|-|
lem osadire	-||--|---|
me pourpensai	-|---------|
tantostque	------|--|
i e l e uousdir oie	-⌫|-⌫|---|---⌫--|
et sipeu te stre chose	-|-|---⌫|-⌫---|----|
qu ilapiecaace	-|-||----||-|
decequiln a	-|-|-|-|||
aillo urs a mé	-----⌫--|-⌫--|
ne nouueleoie nenauo ns	-|------|--||-|---⌫-|
s i uousrequier enge rredon	-⌫|---|------|-|--⌫-----|
