une maniere degent sont	--|------|-|---|---|
quid estreloialsamblant font	--||----|----|-------|---|
bi enconseil l	--⌫-|-------⌫|
couuienten	-------|-|
e tq uantu ientqueon	-⌫|-⌫---|-⌫---|--|-|
si d escue uure	||-⌫-----⌫---|
t antquilseuent	-⌫--|-|-|-----|
lamouretlueuu re	|----|-||----⌫-|
silespandentp ar	-||--------|-⌫-|
l eurgaset	-⌫--|--|-|
et aui entque cilioie em piert	-|---⌫--|--|--|---|-|----|
q uile cons eill a de scouuiert	-⌫-|-|----⌫---||--⌫--------|
e ttant com l	-⌫|---|--||
amours est pl us grans	-----|--|--⌫-|----|
s o ntpluscourciéli finsaman s	-⌫-⌫-|---|-------|-|---|----⌫|
a utrecroit	-⌫---|----|
que ilai t dit	--|-|--⌫|--|
que c eler	--|-⌫---|
etsouuenttelmeschief auient	-|------|--|-------|-----|
que l a mourfail l i rencouuient	--||-⌫---|----⌫-⌫-⌫|-|-------|
a grant dolouretauergoingne	|----|-----|-||---------|
sicomi laui ntembour goingne	-|--|-⌫|---⌫-|-|----⌫------|
d u ncheualierpreu ethardi	|-⌫|--------|---|-|----|
etdeladame	-|-|-|---|
q ueli cheua lierst antpr oia	-⌫-|-|-----⌫----|-⌫--|--⌫--|
par it elcouuenentsamour	--|--⌫-|--------||----|
quilseustau tierme	-|-|----|-|-----|
que par l ui ser oitdescouuert e	--|--|-⌫-|---⌫--|----------⌫|
loramour quil ia roitperte	--|----|-|-||-⌫---|----|
de lotro i	-||----⌫|
qu ele liotfaitede	-|--|-|-|----|-|
eta ce leamourotr oier	-||--⌫-|----|---⌫---|
deuiser entenunuregier	-------⌫--|-|-|------|
licheualierstous seulzuerrroit	-|---------|---|----|-------|
etau termeque limetr oit	-|-|----|--|-|----⌫--|
nese mouuro it	-|-|------⌫-|
dunanguelet	|-|-------|
desiadoncqueunch ienne t	---|----|--|-|--⌫-----⌫|
uerroitpar le ur egier aler	------|--|-|--⌫----|---|
etlorsu erroit	-|---|-⌫-----|
sansdemo urer	---|----⌫---|
enla chambreets iseu stbien	-|-|------|-|-⌫|---⌫-|---|
qua celeeureniauroit	-||---|---|||-----|
forsladametantseule ment	---|-|---|---|-----⌫---|
einsilefisentlongue ment	----|-|-----|------⌫---|
e tfulamorssibi en	-⌫|-||----|-|--⌫-|
qu e fo rseusnelese u triensne e	--⌫|--⌫-|--|-|-|--⌫-⌫|----|--⌫|
li cheuali ers fubiausetp reus	-|-------⌫--|-|----|-|-⌫---|
e tpar samourch eualereus	-⌫|--||----|--⌫--------|
b ourg oingnetenoi t	-⌫----⌫-----|-----⌫|
etso uuentalo it etuen oit	-|--⌫----|---⌫-|-|---⌫--|
cortet tantya la	---|-|---||-⌫-|
queladuc hoiselenama	--|-|---⌫----||-|--|
etli fist telsembl a nt	-|-|---|--|-----⌫-⌫-|
ques ilneu stlecuer a illeur s	--||-||--⌫-|-|---|-⌫------⌫|
biensepeu staperceuoir	---|-|---⌫-|---------|
al semblant	-|-------|
que le limou stroit	-|-⌫-|-|---⌫-----|
mezquelsemblantquel lefe ist	--|---|-------|-|--⌫-|--⌫--|
li cheualierssemblantnenfist	-|---------|-------||-|---|
quepo in e gr antse n pe rceust	--|--⌫|-⌫|--⌫--||-⌫|--⌫-----|
q uelle uer slui	-⌫|---|---⌫|--|
samour eust	|----|---|
et ta n tqueleen o tgrantanui	-|--⌫-⌫|-|--|-|-⌫|----|---|
queleparl azzioural ui	-|--|----⌫|-|---||-⌫-|
