chil quices	---|--|--|
uersfis tettroua	---|---⌫|-|----|
ne m ist riens	-|-⌫--|----|
forscequilproua	---|-|-|-|----|
don tilhfusage set estruis	---⌫|--|-|----⌫|-|------|
etdistqu e nest	-|---|--⌫||--|
con estd alerenuerite	--|--||---|-|-----|
etdeconois tre fausete	-|-|------⌫--|------|
nemie p or	-|--|-⌫-|
ceconle face	-||-|-|---|
maisel leu ientsoue ntenplace	---|--⌫-|-⌫---|----⌫-|-|----|
pordechi uoir la s imp le gent	--|-----⌫---|-|-⌫---⌫-|---|
cha scunsidoitet f orceet sens	---⌫----||---|-|-⌫---|-|---|
metre por eslongierde li	----|--|--------|-|-|
conde s onmortel anemi	--|-|-⌫-|-----|----|
oruo usdironsdeueri te	-|--⌫-|-----|-|----⌫-|
comentele estafa usete	-----|--|--||--⌫----|
contraireetf ausetea l i	--------|-|-⌫-----||-⌫|
fauseteizna n ulbienenli	--------|||-⌫-|---|-|-|
ki f a useteitmain tien tet aime	-|-⌫-⌫------|----⌫----⌫|-|---|
souen t en	-----⌫|-|
aa nuit et	|-⌫---|-|
u eritez est	-⌫-----|--|
parmainleuee	--|---|----|
bienes tuestueetbienparee	---|--⌫|-----|-|---|----|
dedroitureet	-|-------|-|
deha rdiment	-|--⌫------|
furenttrestout	-----|-------|
sipar ement	-|---⌫----|
ueritezsest	------||--|
mise a lauoie	---||-|---|
ele na curequi leu o ie	--|||---|--|-|-⌫-⌫-|
homene femena	---|-|---|||
ki laitasonhostelmenee	-||--||--|-----|----|
uer itez esttroppoia mee	---⌫---|--|---|--|-⌫--|
nusnel onoretan t	--|-||----|---⌫|
quil do i t	-|-|--⌫-⌫|
nenedeport e n enecroit	-|-|------⌫|-⌫|-|----|
nelanus her begie	-|||--|---⌫----|
ueri tezheit ypoc ris i e	----⌫--|---|----⌫---⌫-⌫|
p uet en sa	-⌫--|-|-|
entrerpardr oitnep arraison	-----|--|--⌫--|-|-⌫-|-----|
carf aus etezlai a	--|-⌫---⌫---|||-⌫|
carueriteznaimenepris e	--|------||---|-|----⌫|
por c e qu	--|-⌫|-|
eleestal icontr aire	--|--||-⌫|-----⌫---|
etfausetezueut a	-|-------|---||
ypocrisiee t fausetez	--------|-⌫|-------|
ontsiporpris boret	--|-|------|--|-|
uilhes campest resetchastiauz	-----|-------⌫--|-|--------|
k epoiiaceles	-⌫|--|||----|
kiuerit eita i ment adroit	-|-----⌫--|-⌫-⌫---||----|
chascunsli uaamalefoit	-------|-|-||---|---|
se leseustbien lefe ngi er	|-⌫-|----|---|-|--⌫---⌫-|
chascunsl euosistherbegier	-------|-⌫|-----|--------|
maiselleheitlo senger ie	---|---|---|--⌫------⌫-|
baratorguel morm ureenuie	----|-----|----⌫--|----|
ele aim emiesa	--|---⌫|---||
meschie festre	-------⌫|----|
qu auec m a iniede malestre	-|---|-⌫-⌫---|-|--|----|
or estueritez retornee	-|--|------|-------|
et fa us etezlaencon tree	-|--⌫--⌫---|||-----⌫---|
kicheu a uch oitu n	-|----⌫-⌫---⌫--|-⌫|
grant d e st rie r	----|-⌫-⌫--⌫---⌫|
s auoitrobede cheual ier	|----|---|-|------⌫--|
c o t ee tet	-⌫-⌫-⌫|-⌫|-|
uairmantel	---|-----|
mult seportoitet bienetbel	---|-|------|-|---|-|--|
oliauoitgrantconpan gnie	|-|----|----|------⌫---|
orguelbarat	-----|----|
et tric he ri e	-|----⌫--⌫--⌫|
losenge rie et tra ison	-------⌫--|-|---⌫---|
etmurmurek i sensraison	-|------|-⌫|---|-----|
derierd autrui mesdire	-----||-----|------|
fau s etezsefa itde tozmire	---⌫-⌫---|-|--⌫-|-|--|---|
a chiausqueleuue tdech iuoir	|-----|-|--|---⌫|----⌫----|
mau aisi fait fianc eauo ir	---⌫--||---|-----⌫|---⌫-|
orauerit e isencontr ee	-||-----⌫-⌫-|-------⌫-|
faus ete sil	----⌫--|-||
etarain ieen tel maniere	-|-----⌫-|-|--|------|
dontueneis	---|-----|
kibi enseitparler	-|--⌫-|---|-----|
u deu eis uos huy maisaler	|---⌫--|--|--|---|---|
uospoésbienahos tel	--|----|---||---⌫--|
uossembleis bien dehautafaire	--|-------|---|-|---|-----|
dont astesuos	---|----|--|
dit es le moi	---⌫-|-|--|
acointiés amoi	---------||--|
il uo use np uetgrantbi e nsue nir	-|--⌫-|-⌫|-⌫--|----|--⌫-⌫-|--⌫--|
car uos enporeisdeue nir	--|--|-|-----|----⌫--|
aisie ceme	----|-|-|
senos poon salerense mble	-|--|----⌫|---|----⌫---|
ce s te me snie qui	--⌫-⌫-|--⌫---|--|
ilsont cortois sag eet	-|---|------|---⌫|-|
seuent bie nl ormestie r	-----|---⌫|-⌫-|------⌫|
ke nosf uisio nsbien	-|--|-⌫-----⌫-|---|
seuossauiése ndoblerie	-|--|------|-⌫|-------|
aleretmordre	---|-|-----|
ent ra ison	-|-⌫--⌫---|
menroi enmamaison	-----|-|-|-----|
etsiuosferoi	-|-|--|----|
etseriésri ch esensuop aine	-|------|--⌫--⌫|---|-|-⌫---|
uerite zquionkes ne men t	------⌫|--|----|-|---⌫|
ne dechi uoiraucunnentent	-|-----⌫---|----||-----|
lirespon tuo sn a ueis	-|------⌫|--⌫||-⌫---|
q ue faire	-⌫-|----|
deherbegier	-|--------|
u ostreauersaire	-⌫----|--------|
ueriteisquin a	-------|--|||
dece ulsquineuontendroitu re	-|--⌫--|--|-|---|-|------⌫-|
bara torgue l	----⌫|-----⌫|
mormureenuie	------|----|
ie nel esc r oinene mefi e	-|-|-⌫-|-⌫-⌫-|-|-|-|--⌫|
ypoc resi edetraction	----⌫----⌫|---------|
en trerai en l ormaison	--⌫-----|-|-⌫-|-----|
auectr aito rlosengier	---|--⌫----⌫|--------|
