decesmessages enuoiathiebauz	-|--|-------|-----|-------|
liquens de ca mp aigne e tde	-|----|-|--⌫--⌫----|-⌫|-|
brieyy etbaudoi nsliquens	---|-|-|------⌫-|-|----|
de flandres	-|-------|
ethennaut yyet	-|------|-|-|
loisliquensdebloisyy	---|-|----|-|----|-|
limessagele cont ethebautfurent	-|------|-|----⌫|------|-----|
io f rois de uileardoinlimarescha usde	--⌫-⌫---|-|---------|-|--------⌫-|-|
campai ngne	------⌫---|
et miles libraibanzet	-|----|-|-------|-|
limessageleconte baudoin	-|------|-|----|------|
furen t co enesde betuneetal ar s	-----⌫|--⌫---|-|-----|-|--⌫--⌫|
maquer iausetlime ssag ele	------⌫---|-|-|--⌫----⌫|-|
conteloys iohans d ef r iaiseet	----|---|-----|-⌫|-⌫-⌫----|-|
gautiersde gaudonuille	-------|-|----------|
yysimistrentlor	-|-|-------|--|
afaireentier e m ente ntel man iere que	-----|------⌫-⌫-⌫--|-⌫|--|---⌫---|--|
lorbaillero ientbones cart respendanz	--|--------⌫---|----|----⌫--|------|
il tendro ientfermceque	-|------⌫---|---|-|--|
cil yyferoientpartoz	--|-|-------|--|--|
po r z demerenquelqueleu	--⌫-⌫|-|--|-|------|--|
hailassentd etotesconuenances qu eil fe roient	---------|-⌫|----|----------|--⌫|-|--⌫-----|
ensi murent li yy messagecon	---|-----|-|-|------|--|
uosauezo ietpristrentconsoill	--|---|-⌫|-|--------|-------|
entr ausetfutels	---|--|-|-|---|
lor co nsauxe ntraus	--|--⌫----|-⌫--|--|
acor d ezque en uenisecuideient	----⌫-⌫-|--|-|-----|--------|
trouerplusgrantplentedeuaisiax	-----|---|----|-----|-|------|
queanulautre porte	--||--|----|---||
cheuau chierent	------⌫-------|
parloriorn eestant	--|--|----⌫--|---|
uindrent la premieresemaine d e q uaresme	-------|-|-------|------|-⌫|-⌫------|
de ue nise qui	-|--⌫---|--|
nom henrisdan doleetere multsages	--|-----|---⌫---|-|--|---|----|
etmu lt prouzsileshonoramult	-|--⌫-|----|-|--|-----|---|
etilet les	-|-|-|--|
a u t resgenzetles	-⌫-⌫-⌫--|---|-|--|
uirentmul tuole nt ierset quant	-----|---⌫|----⌫--⌫---|-|----|
ilbai ll erentl esletreslor	-|---⌫--⌫----|-⌫-|-----|--|
sise me rueillere nt	-|-|--⌫---------⌫-|
quelaffaire	---|------|
iler ent uenue nla	-|--⌫--|---|-⌫|-|
letrese rent de creance	-----|-⌫---|-|------|
etdistre nt	-|------⌫-|
liconteque autant lescreist en	-|----|--|-----|--|-----|-|
commelorcorsettenroient f ait	----|--|---|-|--------|-⌫--|
ce quecistyy fer oient	-|--|---|-|---⌫----|
etl i duclor	-|-⌫|--|--|
seingnoriea iueues uosletres bien	-------|-|-⌫|----|--|-----|---|
auonsquene u queuost rese ignor	----|-----⌫|--|----⌫-|--⌫----|
sontli plus h aut home	---|-|---|-⌫--|---|
soientsanzco ronee t	-----|---|--⌫---|-⌫|
mandentquenoscreons ceque	------|--|--|-----|-|--|
nos direzettenonsf e rmce	--|----|-|-----|-⌫-⌫-|-|
queuosfer ezor ditesceque u os	--|--|---⌫-|-|----|-|--|-⌫-|
etlimessa ge resp on dirent	-|-|-----⌫-|----⌫--⌫-----|
sirenosuolons queuos aie z	---|--|-----|--|--|---⌫|
uostreconseilet deuantuostreconseil	-----|------|-|-----|-----|------|
nosu os dirons cequenostr e	--|-⌫-|-----|-|--|-----⌫|
seignoruosma nd ent demain	------|--|--⌫--⌫--|-----|
