de rime rmestuet	-|----⌫||-----|
entremettr e	----------⌫|
etdelatin en r omans	-|-|----|-|-⌫----|
si comietruisen es criptu re	-|--|-|----|-|--⌫------⌫-|
boneraisonetpar	---|-----|-|--|
puet bon essamplepre ndre	---|--|-------|---⌫---|
qui decueri uolroitentendre	--|-|---||------|-------|
d aucun so iseausloncle scriture	|-----⌫|-⌫-----|---||-⌫-------|
uousuoil deuiser lanature	---|---|------|-|-----|
queonapeleuo l uc ra ire	--|-|----|--⌫-⌫--⌫--⌫--|
or enentendezl	-|-|-------||
essamplaire	----------|
unsoi se ausestc	--|--⌫--⌫--|--||
onclaimeoi stor	-|-----|--⌫---|
sicom racontentl i auctor	-|--|--------|-⌫|-----|
qui priueizest	--|------|--|
amoltdeg ent	|---|-|-⌫--|
etalecorsetbelet gent	-||-|---|-|--|-|---|
sies tdesi f aite nat ure	-|--⌫|-|-|-⌫---|---⌫--|
quequantil	--|----|-|
ua it querrepasture	--⌫-|-----|------|
etonleporte seursa main	-|-|-|----|---|-|---|
ousoi tauuespre	-|---⌫|-|-----|
ou soi ta uma in	-|---⌫|-⌫|--⌫-|
il pre nt ades o iseauss aluages	-|---⌫-|---|-⌫-----|-⌫------|
et nonpriuez	-|--|-----|
cestsesusages	|--|--|-----|
etquan til a	-|----⌫|-||
tantost ason s egnorl estoie	------||--|-⌫----||-----|
etsessires	-|--|----|
lecuerl en	-|---||-|
ce ste senefianceest bone	--⌫--|---------|--|---|
por ce li donneil	--|-|-|----|-|
e t gietelesentra il les	-⌫|----|--|-----⌫--⌫--|
quil leprengneautrefoizplustost	-|-|-|------|----|---|---|---|
et quilreuiengne ausegnor	-|-|-|--------|-|-----|
lese ntraillesfuer	--|-⌫--------|---|
qu i l ne uieut q u lau tre	-|-⌫|-|----|-⌫||--⌫--|
cesterai sonsestbienapert e	----|---⌫---|--|---|-----⌫|
que i e uous aici descouerte	--|-⌫|---|-|-|---------|
unsautresoistor sestsauuage s	--|-----|------⌫|--|-------⌫|
etmoltestdiuersse s usages	-|---|--|-----|--⌫|-----|
ne uieutapr iuoisier	-|----|---⌫-------|
porchoseqon	--|----||-|
sac henoisier	---⌫-|------|
m aistoutadescouo ite proie	-⌫--|---|---|----⌫--|----|
coiement uo l eq on	-------|--⌫-⌫||-|
et nepr ent soiseausnon priuez	-|-|--⌫--||------|--|-----|
lauctorit ei z	|--------⌫--⌫|
quantles apr istoutsanzdemeur e	----|--||--⌫-|---|---|------⌫|
les ocist et tue etd eueure	--|----|-|--|-|-⌫-----|
p arsatres	-⌫-|-|---|
g randegloutenie	-⌫----|--------|
entendezquece senef ie	-------|--|-|-----⌫-|
i e l uousdiraiablief	-⌫||---|----||----|
nec ui d ie zpa squ	-|-⌫--⌫-⌫--⌫|--⌫|-|
li oisto rspriuez uole	-|-----⌫-|-----|---|
ue rsdroituent que l anclai me chaut	--⌫-|----|---|--|-⌫-|----⌫-|----|
uers droit uent cedist l	---|----|---|-|---||
estdie x assi setpar d roiture	--|---⌫|----⌫|-|--|-⌫------|
ca r ceestladestrepartie	--⌫|-|--|-|-----|-----|
nost resegnorn e n	----⌫-|-----||-⌫|
dou tez mie	---⌫--|--|
la uole li	-|---|-|
oistorspri uez	------|---⌫--|
hautuoleiz	---|-----|
simont eenlairetsisesioit	-|----⌫|-||--|-|-||-----|
et nouelep lume re coit	-|-----|-⌫---|--⌫---|
porleuentqui	--|-|---|--|
de bon lieu	-|--|---|
dr oise st	--⌫--|-⌫-|
bonsaubonse t ient	---|-|--|-|-⌫---|
porceuouz di nendoutez	--|-|---|-||-|-----|
bo nssi resf aitbone mainie	--⌫-|--⌫--|-⌫--|---|-----|
bon s crestiensb ondie uaura	---⌫|--------|-⌫-|---⌫|---|
qa n t uenra que	--⌫-⌫|----|--|
mestieraura	------|---|
de samorde lui	-||---|-|--|
desa grace	-|-|----|
ades sieure l atrace	---|-----|-⌫|----|
bonsoistorsenhaut	---|------|-|---|
qantuers d roit uentuoleou achaut	---|---|-⌫---|---|---|-||----|
oiez la utre se nefian ce	---||-⌫---|--⌫------⌫-|
qest enliured e	|--|-|----|-⌫|
lioistorsqui	-|------|--|
paspriueiz	--|------|
quiadesest acou stumeiz	--|---|--|----⌫------|
deuoler po r	-|----|--⌫|
qu erresa pro ie	--⌫---|-|---⌫-|
uo leun emol t e stra ngeuoie	--⌫-|--⌫|---⌫|-⌫----⌫--|---|
uersunuen tquon	---|-|---⌫|-|-|
apele bise	----|---|
quimoltest	--|---|--|
f roiza grantdeuise	-⌫---||----|-----|
etfroiz do itestrepa rdroitu re	-|----|--⌫-|----|--⌫|------⌫-|
c enous tesmong ne lesc riture	-⌫|---|-------⌫-||---⌫-----|
que d iab lessietc ele par t	--|-⌫---⌫--|---|-⌫--|---⌫|
dontihesunos gart	---|----|--|---|
ciloistors sinous	--|------|-|---|
