briementu osdirai	-------|-⌫-|----|
l e sexamplessi	-⌫-⌫|-------|-|
c omie sai	-⌫-|-|--|
rendiasaint sa umer	----||----|--⌫---|
ay yliuespr iesdela	|-⌫|----|--⌫--|-|-|
il l uec quesnoirs moignes	--⌫-⌫---⌫---|----|------|
p uisquede toulete	-⌫-----|-|------|
ou il otap ris nigremanche	-|-|-|--⌫--|----------|
nothommeel	|-|----|-|
roi aumedefranche	---⌫---|-|------|
kitantseust	-|---|----|
arsne caraud e s	--|-|------⌫-⌫|
am aintes gens fist maintescaudes	|-⌫-----|---|---|------|-----|
il auoitatouletees te ́	-|----||------|--⌫--⌫|
tout zz iui eretzz est e	---|-|---⌫-|-|-|---⌫|
aualsousterreen zz	---|---|----|-|-|
ouparloitaum al femeisme	-|------|-|-⌫--⌫-|-----|
enghiene t	------|-⌫|
qui tout lem ont de choi t e t	--|---|-|-⌫--|--⌫----⌫|-⌫|
ilapristmil coniuremens	-|-----|--|----------|
mi lcaraudes mil	--⌫|-------|--|
espi remens	----⌫-----|
ilsetenlespee	-|--|-||----|
et losautierfaire	-|-|------|----|
l espaule a u	|------|-⌫|
faisoitpertesrendreafui son	------|-----|-----||---⌫--|
sisau oit gard e rel bachin	-|---⌫--|----⌫-⌫|-|-----|
pourre ndre pe rte	---|--⌫---|--⌫--|
etlarrechin	-|--------|
femmesfaiso itenc amuder	-----|-----⌫-|---⌫-----|
etlesho m mesen fantsuer	-|--|--⌫-⌫--|--⌫---|---|
il nothommeius qu asainti ake	-||-|----|---⌫-||----|-⌫--|
quitantseustdedyodake	--|---|----|-|------|
delfirmamentn edeles pere	--|--------|-⌫|-||--⌫---|
ilcontref aisoitlecimere	-|-------⌫-----|-|-----|
labesteconne pu et	-|----||-|-|--⌫-|
con noi str e	---⌫---⌫---⌫|
le s moignesf aitpeirelcloistre	--⌫|------|-⌫--|---|-|-------|
quantwistas eotassesapris	----|------⌫|-|----|----|
audyable congiea	-|-----|-----||
lidyables d ist quil uiu roit	-|------|-⌫--|-|-|---⌫---|
tantquemalfaitassesaroit	------|--|---|----|----|
contes guerrieroit	-----|----------|
mer occ iss eroit	--|---⌫-|-⌫----|
w istasces en reuint	-⌫------||-|-----|
en franche	-|------|
quipuis f istmainte pute enfanche	--|---|-⌫--|-----|---|-------|
unenuit uintamontferrant	--|---|---||----------|
illuecfist	-----|---|
d yabliegra nt	-⌫-----|---⌫-|
eldemainainsk	-|-----|----|
zzg rantmangieratorner fist	-|-⌫---|------|------|---|
ciesunerich e	---|--|----⌫|
ta ureniere	--⌫-------|
qui molt e rtorgi llouseet fiere	--|---|-⌫-|----⌫-----|-|----|
chef uenunes	--|-⌫|-|---|
m o ustisons	-⌫-⌫-------|
wi stasces o t troiscompaignons	--⌫------|-⌫|----|----------|
ki detouleteodl uiu enoient	-|-|------|-|-⌫-|-⌫------|
l imoustpar l amai son estoient	-⌫|----|--|-⌫|---⌫--|-------|
yytounniaus eniauoit	-|--------|-||----|
wistascesimangue et boi t	--------||-----|-|---⌫|
il etlata u ren iere	-|-|-|--⌫-⌫---⌫---|
ens a mble	---⌫-⌫---|
et quanton t mang iéche me sambl e	-|----|--⌫|----⌫--|--|-|-----⌫|
etche uinta	-|--|---||
lescotpaiier	|----|-----|
wis ta scesnauoitnuldenier	---⌫--⌫---||----|--|-----|
de lamonnoie dou pais	-|-|------|--|---|
forsque tornois et pa resis	------|------|-|--⌫----|
ladamemolt lor mesconta	-|---|---|--|-------|
etl ormonnoierefus a	-|-⌫-|------|-----⌫|
poryysolscorentdespendus	--|-|---||----|--------|
paier ent il	-----⌫--|-|
wistasces quimoltsot	--------|--|---|--|
quant ildutpartirdela uile	----|-|--|-----|-|-|---|
lataureniere	-|---------|
enfanmenta	---------|
etsourlesuel zzgrain	-|---|-|---|-|----|
k ilauoitconiuréform ent	|-|----|-------|----⌫--|
etlataureniereerram ment	-|-|---------|-----⌫---|
sest descouuerteduscalchaint	|--|----------|---|-|-----|
d ou prem iertouniel	-⌫-|----⌫--|------|
queleatai nt	-|--|----⌫-|
atoutes lesbroces ostees	|-----|--|-----|-----|
g rantmarchiefai td e	-⌫---|------|---⌫|-⌫|
ses denrees	--|------|
el esesc rieorcha	--⌫||---⌫--|-|--|
li uins alo itparlam a ison	-|---|---⌫-|--|-|-⌫-⌫---|
hommes etf emm es ac ou roient	-----|-|-⌫---⌫-|--⌫--⌫-----|
et qua ntle	-|---⌫-|-|
suelpasséauoient	---|-----|------|
lorbraies aualoient	--|-----|--------|
et l esfem mes se	-|-⌫-|---⌫--|-|
descouur oi ent	--------⌫--⌫--|
cha int oudusqualunbri l	---⌫--|-|----|-|-----⌫|
oistes si uielbestil	-----|-|---|-----|
comen lamaison de m enoient	--|-|-|-----|--⌫-⌫------|
de stouniaus	--⌫|-------|
le sbroch esostoient	--⌫|-----⌫-|-------|
liuin ssen ua i t pa rmi le srues	-|---⌫||-|--⌫-⌫|--⌫--|--⌫|---|
toutes lesg e nsisont	-----|--|-⌫-⌫-||---|
mais nus nosoitl aiens entrer	---|--||----|-⌫----|-----|
ki neseustsoncul moust rer	-|-|----|--|--|-----⌫--|
achascunde chiausqu ientroit	|------|-|-----|--⌫|------|
pourchounusentrern i	---|---|--|-----|||
ilsapa rchurenten lafin	-||---⌫-------|-|-|--|
que chorent	--|-|----|
faitlipe lerin	---|-|--⌫----|
kilaiensau oientmangié	-|-----|--⌫----|------|
etli b orgois	-|-|-⌫-----|
sont es l aissi é	---|--⌫-⌫-----⌫-|
aprieswistasceuo nt	-----|-------|--⌫-|
atr oisliuesd e	|--⌫--|----|-⌫|
montferrant	----------|
