auan talat outeeffree	----⌫|--|-⌫---|-----|
etdeseur luichaip asmee	-|-----|--|---|-⌫----|
cillereco it quiformentlainme	--|-|----⌫-|--|------||----|
maleueroxso uuen ts eclainm e	--------|--⌫----⌫|-⌫|------⌫|
qua ntdel pa smerfutr espassee	---⌫-|--|--⌫---|-|--⌫-------|
dou cementconfort ee	---⌫-----|-------⌫-|
beleamiepor d iu	---|---|--|-⌫-|
ales uous en tt o tes de ci	---|---|--⌫|-⌫-⌫--|-|-|
senpresmorraienmileior	------|-----|---|-|--|
ca iensaur asigra n tdol or	--⌫---|---⌫|-|---⌫-⌫|---⌫-|
i estiiéstrouee	|-------|-----|
tou teenseriés torme ntee	---⌫-|-|------|-----⌫---|
bienertentre magent seu	---|--|----|-|---|--|
ki lmontporuostreamor	|-⌫||--|--|-----|---|
po u ruous	--⌫-⌫|---|
s uidolanset	-⌫-|-----|-|
la dame li	-|---|-|
m olt u ueile nsem ble	-⌫--|-⌫---|-⌫----⌫--|
ouous morir	|---|----|
q uo monsegn or painne susfr ir	-⌫||--|----⌫-|-----|-----⌫-|
sa luir euoiss ilmocira	||--|-⌫----||-||----|
liceualierslas eura	-|--------||--⌫---|
liabaillié	-||-------|
sil iadit e tensengnié	-|-⌫||--|-⌫|---------|
iatant con	-|---|--|
elelegard era	--|-|----⌫--|
a so nsegnorn em enb erra	|--⌫|-----|-⌫|-⌫---⌫---|
denulerien que faire doit	-|---|---|--|----|---|
nene le t en r aen	-|-|-|-⌫--⌫-⌫|-|
des troi t	---⌫----⌫|
liconmandeetrent	-|-------|-|---|
apresla coniu re	----|-|-----⌫-|
et desfent	-|------|
queia m ai shom nensoit saisis	--|--⌫-⌫--⌫|--||-|---|-----|
mais bienlegartaueuc s en fis	---|---|-|---|----|-⌫-|--|
sera creusetg rans	---|----|-|-⌫---|
etc eua lierspreuset	-|-⌫---⌫----|----|-|
aunefesteu	|--|----||
et son seg noro luimenra	-|--|---⌫--||--|----|
en uneabei e	-|--|----⌫|
po r unetonbequ	--⌫|--|----|-|
o rontnouu elesdesa	-⌫---|----⌫---|-|-|
ilfuoc isa tort	-|-|--⌫-||---|
i le uclib ail ler éslespee	-⌫--⌫-|-|-⌫---⌫---⌫--||----|
la uentureli soitco ntee	|-⌫------|-|---|--⌫---|
comilfune ́s quilengendra	--|-|-|--⌫-|--||-------|
assesuerrontquilenfera	----|------|-|-|-|---|
quantto ut liotdit	----|--⌫-|-|-|--|
uncier bliau tli adoné	-|---|-----⌫|-||----|
si liconmandaauestir	-|-|-------||-----|
puis lafetedeluip artir	---|||---|-|--|-⌫----|
anelen por te	---|--⌫---⌫-|
etl e sp eequile c onforte	-||-⌫--⌫-|--|-|-⌫------|
aleis suede lacite	||---⌫--|-|-|---|
neutpas d emi liuealé	|--|--|-⌫--|---|---|
quanteleoi	----|--|-|
lessains soner	--|----|----|
etledoele l	-|-|---|-⌫|
ca stelleuer	--⌫---|----|
segnor q ui semoroit	-----|-⌫-|-|-----|
celesetbienquemorsestoit	---|--|---|--|---|-----|
de ledolorqueele	-|-|----|--|--|
quatref oiiesse	-----|-⌫----|-|
etquantdepasmissonreuint	-|----|-|--------|-----|
ue rslehaie sa	--⌫-|-|---|-|
uoi e tint	---⌫|---|
dedens entra oltrepassee	-----|----|----|-----|
sisenreuaenseco ntree	-||-|---|-|-|--⌫----|
ele reuintd edens sa	--|-----|-⌫----|-|
ai nsde ce lfait nela reta	--⌫-|-|--⌫|---|-|-|---|
nen edestrut	-|-⌫|------|
ne neg ueta	-|-|-⌫---|
sesfix funé s	--|--|-|---⌫|
etbiennorris	-|---|-----|
etbiengard éset bienseru is	-|---|----⌫--|-|---|----⌫-|
iu n ecle faso ientnomer	--⌫-⌫-|-|----⌫---|----|
ens elre gnen	--|-|--⌫--||
auoitso n per	----|--⌫|--|
si uaillant	-|-------|
silar genesidespenant	-|---⌫-|-|-|--------|
qu an tilf uuen u sen ae	--⌫--⌫|-|-⌫|---⌫-⌫|-|-|
aceualierlontadou be ́	|-------||--|----⌫--⌫|
enlanmesmequecoufu	-||-|----|--|--|-|
o iies com lor estauenu	-⌫---|--|--|--|----|
a l afes te saintaaron	|-⌫|---⌫-|----|----|
celebroitac arl ion	--------||-⌫---⌫--|
etenpluisors autrescites	-|-|-------|-----|----|
