ce stlel ay	|-⌫-|-|-⌫-|
de d yonet	-||----|
puis qued eslai s	---|--|-⌫-|---⌫|
aico nm encie ́	-|--⌫--⌫-----⌫|
ert pormontraua il	--|--|--|-----⌫-|
le sa uenturesqueie sai	--⌫|-⌫-------|--|-|--|
toutesparrimeconter ai	-----|--|---|------⌫-|
enpense aietentale nt	-|----|-|-|-|----⌫-|
q uediome tuos	-⌫-||----⌫|--|
dieau a nt	--|--⌫-⌫-|
dontilfun e z etd esompere	---|-|-|-⌫-⌫|-|-⌫|--|---|
auenture de	-------|-|
cil quiengendradyo met	--|--|-------||--⌫--|
auoit anon	----||--|
murdimalet	---------|
e nbreta ingnemano itiadis	-⌫|-----⌫----|----⌫-|----|
ric heshom uiel etantis	---⌫--|--|---|-|----|
decaruotestoitauouez	-|-----|-----|-----|
etdupaissirecl amez	-|-|---|---|--⌫---|
la ci tefu suerdualas	-|--⌫-|-|---|-----|
iadisiotmoltg ranttrespas	----||-|---|-⌫---|------|
moltes toit preuzde sonaag e	---|--⌫---|----|-|--|---⌫|
porcequilotboneritage	--|-|-|-|-|--|------|
famepristpore nfanza uoir	---|----|--|-⌫----|-⌫---|
quiapres luifusse ntsi	--|----|--|-----⌫-|-|
de hautege nt fu lapucele	-|----|--⌫-|-|-|-----|
s ageetcortoiseetfor men tbele	-⌫--|-|-------|-|---⌫---⌫|---|
porceq u ele ertbe leetgente	--|-|-⌫|--|--|--⌫-|-|----|
enli gar dermistmoltsentente	-|-|---⌫--|---|---||------|
dedenz sator	-----|-|--|
la ense rree	||----⌫---|
enu n egrant	-|-⌫-⌫|----|
c hambr e pauee	-⌫-----⌫|----|
ilotuneseueseror	-|-|--|---|----|
uielle estoi tueue sanzseignor	-----|-----⌫|---|---|------|
ensembleoli	-------||-|
la dameamise	-|---||---|
porluitenir	--|--|----|
plus en iu stise	---|-|--⌫----|
autr es fame i otc e croi	----⌫-|---||-|-⌫|---|
enuneautrechambre	-|--|----|------|
mesia la damen iparla st	--|-|-|---|||-----⌫-|
selauielle nuc onmanda st	-|-|-----|||-⌫-------⌫-|
ein silatint	---⌫-|-|---|
plusde anz	---|-|--|
onques entreusnoren t enfanz	-----|---|--||----⌫|-----|
neforsdeceletorn issi	-|---|-|---|--||---|
ne por paren tne por	-|--|-----⌫|-|--|
seut couchie r	---|-------⌫|
n iotchambellenc	||-|----------|
qui en lacham breosastentrer	--|-|-|----⌫--|----|-----|
nedeuanteusciergeporter	-|-----|--|-----|-----|
