roisartusdebretaigne	---|----|-|--------|
laquiproec enousensagne	-|--|-----⌫|---|------|
que nous s oion sprou e tcourto i s	--|---|-⌫----⌫|---|-⌫|------⌫-⌫|
tintcort sirice comerois	---|---|-|---|---|---|
aunef e stequit ant	|--|-⌫-⌫--|--|-⌫--|
con doi tamer comla pent ecoste	|-|---⌫|---|--|-|----⌫-----|
lacors fu acardoel e ngales	-|---|-||------|-⌫|----|
apresmangier	----|------|
parmices sal es	----|--|---⌫-|
licheualie rsatropelerent	-|--------⌫||-----------|
la o udameslesapelere nt	-|-⌫|----|--|-------⌫-|
ou damoiselesoupuc eles	-|---------|-|---⌫---|
l iunracontoient nou eles	-⌫|-|----------|---⌫---|
liautreparloi entdamors	-|----|------⌫--||----|
desangois seset desdolors	--|------⌫--|-|--|-----|
etde gransmax quenont souent	-|-|----|--|-|-|--|-----|
lide siplede sonconuent	-|--⌫----|-|--|------|
quilorsestoitriceset bo ens	--|---|-----|----|-|--⌫--|
mo u t poide s soens	--⌫-⌫|--|--⌫|----|
cariap re s	--|||-⌫--⌫|
tuitlaissie	---|------|
sines t amorsm o utabaissie	-||--⌫|----|-⌫-⌫-|-------|
soloientamer	-------|---|
se fai soientcortoiscla mer	-|---⌫-----|------|---⌫--|
etp rouet largee t honora ble	-|-⌫--|-|----|-⌫|------⌫--|
amo rstorn eeafable	---⌫-|----⌫-||----|
porcequecilquirienn	--|-|--|--|--|---||
ensen tent	-|---⌫---|
dient quil	----|-|-|
ai ment et simen tent	--⌫---|-|-|---⌫---|
etc ilfable	-|-⌫-|----|
etmenconge enf ont	-|-------|-|-⌫--|
quisen uantentet rien	--||-|------|-|---|
mai sporparl er	---⌫|--|----⌫-|
decels quifu rent	-|---|--|--⌫---|
laissoncausqui e n uiedurent	------|---|--|-⌫|--|-----|
quenc o r uautmiusce	-|---⌫-⌫|---|---|-|
zzcorto ism orsqu unsuila i nsu is	-|-----⌫-|-⌫--|-|--|----⌫-⌫-|-⌫-|
pla ist araco nter	---⌫--||----⌫---|
cosequiface aescouter	---|--|---||-------|
del roiqui	--|--|--|
fudecelt es moing	-|-|--|-⌫--⌫----|
comemp a role	|-|-|-⌫-⌫---|
presetloing	---|-|----|
simacortdetant	-||----|-|---|
quatosior s	-||--|---⌫|
mais durra ses nons	---|----|--|---|
carparlu isontra menteu	--|--|--⌫|---|--⌫-----|
lib oncheualieresleu	-|-⌫-|--------|----|
q uienhonorse	-⌫-|-|----|-|
tra u illiere nt	---⌫-⌫-------⌫-|
quimou tp esa	--|---⌫|-⌫--|
etq ui mout	-|-⌫-|---|
grantmur murre enfirent	----|---⌫----|-|-----|
conques mais	|-----|---|
asi grantioie en	|-|----|---|-|
cambreentrer	-----|-----|
por d ormiretporreposer	--|-⌫----|-|--|------|
maiscel iorissiauint	---|--|--|---|----|
qu e laro inele detin t	--⌫|-|--⌫--|-|-----⌫|
etsi reme st ta n tdales	-|-|----⌫-|--⌫-⌫|----|
ou bliaet endormi	--⌫---|-|------|
al uisdela	||--|-|-|
camb redefor s	----⌫-|-----⌫|
fu dodinesetsaigremors	-|------|-|---------|
mes si reyuains	--|--⌫-|-----|
etk exet messiregauains	-|-⌫-|-|--|---|------|
ausca logre nans	--|--⌫-----⌫---|
zz cheualier s moutauenan s	-|---------⌫|---|------⌫|
a comanciéuncont e	|--------|-|----⌫|
nondesonor mai sdesa honte	--|-||---|---⌫|-|-|----|
q uequeil leconte contoit	-⌫----|-|-|----|------|
e tla ro inelesco utoit	-⌫|-|--⌫--||----⌫----|
ses tdedalesl eroileuee	|--⌫|-|----|-⌫|--|----|
etuintsorau ssi aemblee	-|---|--|--⌫|-||-----|
c ai nsquenus lapeustueoir	|--⌫----|--|-|----|----|
la iee ntr auscaoir	--⌫-|-⌫--|--|----|
forsque calogrena n tsansp lus	------|---------⌫-⌫|---|-⌫--|
cilleuae ncontreli	--|---|-⌫------|-|
et kex qui m out	-|--|--|-⌫--|
f uramprosnos	-⌫|---------|
f eletpoignanset afitous	-⌫-|-|-------|-|------|
li d istpardeucalogrenant	-|-⌫--|--|--|----------|
moutuou s uoiorprouetuaillant	---|---⌫|--|-|---|-|-------|
etcertesmoutmest	-|-----|---||--|
belqueuous	--|--|---|
plus cortois detou s	---|------|-|---⌫|
s ai queuouslequidiés	-⌫-|--|---|-|-------|
t antes tesuous de sensuuidi és	-⌫--|--⌫--|---|-|---|-----⌫--|
sestdro isquemad amele qui t	|--|---⌫-|--|-|-⌫--|-|---⌫|
que uous aiés	--|---|----|
plu s quenous	---⌫|--|---|
de cortoisieet	-|--------|-|
ialaiameso rpor	-|------|-⌫|--|
espoir que nous nenousl euame s	-----|--|---|-|---|-⌫-----⌫|
ou porc eque nu s n ed aignames	-|--|-⌫|--|--⌫|-⌫|-⌫-------|
ma ispar f oi sire n enfeismes	--⌫-|--|-⌫-|---||-|------|
madameainsfustesuousl e u e e	-|---|---|-----|---|-⌫-⌫-⌫-⌫|
certes que iafuissie ́screués	-----|--|-|-------⌫-|------|
faitla roine al mienquidier	---|-|----|-|---|------|
peussiésuous	--------|---|
d el uen im dont uous estesplains	-⌫-|---⌫-|---|---|----|-----|
anoious estese t uilains	------|----|-⌫|------|
dera mp rosn e ruoscompagnons	-|--⌫--⌫----⌫-⌫|--|---------|
da mesenousnega aignons	--⌫-|-|---|-|--⌫------|
fa itkexe nu ostre	--⌫-|--|-⌫|-⌫----|
ga rdésquenousn iperdonsmie	--⌫----|--|---|||------|--|
ionequ it au oir cosedite	-|-|--⌫-|--⌫--|---|---|
qu i m edoieestreamald escrite	--⌫|-⌫|---|----||--|-⌫------|
uousplaist taisiésuousen	---|-----|-------|---|-|
i l n acor t oisiene	-⌫|||---⌫-⌫----|-|
e m plait d oisosema inten i r	-⌫|----||-----|--⌫-----⌫-⌫|
cisplaisnedoitauant	--|----|-|---|----|
nonnele d oit plushautmont er	|-|-|-|-⌫--|---|---|----⌫-|
mais fait e snousauantconte r	---|----⌫-⌫|---|----|-----⌫|
cequil auoit encommencié	-|-|-|----|-----------|
nedoitauoir te n cié	-|---|----|--⌫-⌫---|
ac esteparole sapon t	|-⌫---|-----||----⌫|
calogren a nsetsi respont	--------⌫-⌫-|-|-|------|
damefai tildela tencon	---|---⌫|-|-|-|-----|
nai iomiegrantcusen con	|-|-|--|----|-----⌫--|
petitme ne stetpoi	----||-⌫|-⌫-|-|--|
quesekexau ersm oi m e spri s	--|-|--||-⌫--|-⌫-|-⌫-⌫----⌫|
ioni auraii anuldamag e	-|||----|-⌫|--|-----⌫|
q u amius uaillantetaplus	-⌫||---|-------|-||---|
mess ire kex queione	--|-⌫--|--|--|-|-|
aué suousfait	----⌫|---|---|
so uent anui	--⌫---|---|
et bienenestesco stume rs	-|---|-|----|--⌫-----⌫-|
tosta ns doit	--|--⌫-|---|
et taonspoindreetmalosmuire	-|----|------|-|----|----|
sidoitmout anoie retnuire	-|---|---|-----⌫|-|----|
ma ision e conteraihuimai s	--⌫-|-|-⌫|-------|--|---⌫|
se m a dame men	-|-⌫|---||-|
laisseempais	-----|-|---|
