libonsroysartus de	-|---|---|----|-|
bret ai gne	----⌫--⌫--|
laquiproeche nousenseigne	-|--|------|---|-------|
soionspreu set cou rtois	-----|----⌫|-|---⌫----|
tintcourt si riche	---|----|-|----|
c o mmerois	-⌫-⌫--|---|
achelefestequitantc ous te	|----|----|--|---|-⌫---⌫-|
c on doi t nomm erle penthecouste	|-|---⌫|----⌫-|-|-----------|
lirois fuacardoeil	-|---|-||-------|
apresmengie rparm i	----|------⌫|----⌫|
licheualier sat ropelerent	-|--------||--⌫---------|
dameslesapelerent	----|--|--------|
oudamoisel esou pucheles	-|--------⌫-|-|-------|
liunrecontoie ntn ouueles	-|-|---------⌫-|-⌫------|
liautrespa r loie nt damours	-|-----|--⌫-⌫----⌫-||-----|
des a ngousses etdesdol ours	--|-⌫-------|-|--|---⌫---|
e tdesgrant	-⌫|--|----|
biensquenontsouuant	----|-|-|--|------|
lidesipled es on couu ant	-|------|-⌫|-⌫-|----⌫--|
quilors estoientr iche	--|---|-------|-⌫---|
apeti t dessiens	|----⌫|--|----|
quiabienp re s lont	--||---|-⌫--⌫||--|
tuitlaissie	---|------|
sen est amour smou t	|-|--|-----⌫|---⌫|
c archilquis oloientam er	-⌫-|---|--|-⌫------|--⌫-|
s e fa isoientcourt ois cla mer	-⌫|--⌫------|-----⌫--|---⌫--|
q uepreuetlargueet	-⌫-|---|-|-----|-|
honnorable	---------|
esttout tourné	--|---|------|
car tiexy aqui riens	--|---|||--|----|
nen sentent	|-|------|
dientquilaymentet simentent	----|-|-|-----|-|-|------|
etchilfable menchongne	-|---|----|---------|
uantentetdroitni ont	------|-|----|||--|
maispourpar ler d e	---|---|---⌫--|-⌫|
chixquifuren t	---|--|-----⌫|
lai ssonschixqui en u ie	---⌫----|---|--|-|-⌫-|
quencor uaut	-|----|---|
mix chemest auis	--|--||--|---|
uncourtoismorscuns uilain s	-|-------|---||--|------⌫|
me plaisarec on ter	-|----||---⌫--⌫--|
chosequ i fai che a es couter	----|--⌫|---⌫--||--⌫-----|
fudetel te s moi ng	-|-|--|--⌫-⌫---⌫-|
enpar o lepreset loing	-|---⌫-⌫-|---|-|----|
ac ortdetantad bret o n s	--⌫--|-|---|-|----⌫-⌫-⌫|
entantqui nomment de s	-|---|--|------|--⌫|
boins lesnons	----|--|---|
sontram enteu	---|---⌫----|
li boin cheualieresl eu	-|---|--------|---⌫-|
qui e namorse tra ue illierent	--|-⌫|---|-|---⌫--⌫--------|
maischel iour mout s esmeru eillierent	---|---|---|---||------⌫---------|
dech il quidentrauzseleua	-|--⌫-|--||---|--|-|---|
si outdetixquimout	-|--|-|--|--|---|
moutgr an t	---|--⌫--⌫|
paroleenfir e nt	-----|-|---⌫-⌫-|
p our chequ eonques maisneuirent	-⌫--|--|--⌫|-----|---|-|-----|
en hautefeste e n chambreentr er	-|----|----|-⌫|------|----⌫-|
p ourdormirnepour repos er	-⌫--|-----|-|---|-----⌫-|
mais cheli our	---|---|-⌫--|
ainsiliauint	----|-|----|
qu elaro ynelere tint	--⌫|-|--⌫--|-|--⌫---|
si de mouratantdelesli	-|--⌫----|---|----|-|
quils o ublia e tendormi	-|-||-⌫----|-⌫|------|
delachambredehors	-|-|------|-----|
fudodinezetsagrem ors	-|------|-|------⌫--|
li r oisetme sire	-|-⌫--|-|-|---|
et si fupresmes ireyuain s	-|-|-|---|-|-⌫--|-----⌫|
etfuau ec c alogrenans	-|-|--⌫-|-⌫---------|
unzc heualiersmou tauenans	--|-⌫--------|---⌫|------|
quilo rs out c ommenchie ́ z zconte	--|--⌫-|--|-⌫---------⌫|-⌫|----|
onnormais desahonte	----|---|-|-|----|
ainsi quesencon t e con toit	----|--|--|---⌫-⌫|---⌫---|
etlaro ynel esc out oit	-|-|--⌫--||---⌫---⌫--|
sis est delesleroi leu ee	-||--|----|-|--|---⌫-|
seulesises t	----|-||--⌫|
anchoisquenuslepu istueoir	---------|--|-|--⌫--|----|
sefu lais sieentr	-|-|----⌫--|---|
eusqueo ir	--|----⌫-|
etdont c alogrenans sansplus	-|---|-⌫---------|---|---|
salienp ies con treli su s	---|-|-⌫--|---⌫--|-|--⌫|
et queu zquimo ut	-|----⌫|--|--⌫-|
fura mpor n eus	-|--⌫----⌫-⌫--|
fel e t po ignan s	--|-⌫|--⌫-----⌫|
etdespiteus	-|--------|
lidist pardieu c alogr enant	-|---|--|---|-⌫-----⌫----|
mou tuousuoiorpreue tsaillant	---⌫|---|--|-|---|-⌫|-------|
etencor mout mest	-|----|---||--|
bel queuou s	--|--|---⌫|
pluscourtoisde nous	---|-------|-|---|
etbiensaiqueuousle qui diés	-|---|--|--|---|-|---⌫----|
tantestesu ou sdesenswidiés	---|----|-⌫--⌫|-|---|------|
se stdroisq uema dame l ot rit	|-⌫-|----|-⌫-|-|---||--⌫--|
que uousaiésplusq u enoustuit	--|---|----|---|-⌫-⌫|---|---|
decourtoisie et	-|---------|-|
i alaiss amesor pourproeche	-⌫|-----⌫---|-|---|------|
espoirquenous ne	-----|--|---|-|
nous leu ames	---|---⌫---|
oupo u r chequenousne deignam es	-|--⌫-⌫|--|--|---|-|-------⌫-|
en nond ieusirenousfeimes	-|--|-⌫--|---|---|-----|
maisp ourch e que nous	---|-⌫--|--⌫|--|---|
ainsque fustes leués	------|-----|-----|
chertes kesiafus si é s creués	------|--|-|---⌫--⌫--⌫|------|
fa itlaroy ne	--⌫-|-|---⌫-|
au mien qu idie r	-|---|--⌫----⌫|
sene uous peussiés	-|-|---|--------|
du ue nin don tu ousestes plains	-|--⌫--|---⌫|-⌫--|----|-----|
enuieusestese tuilains	------|----|-⌫|------|
derampo rner	-|-----⌫---|
uo scom p agnons	--⌫|---⌫-⌫-----|
dame senousne gaagnons	---|-|---|-|-------|
faitkeuenuostre compagnie	---|--|-|-----|--------|
gardésque nousn iperdons	------|--|---|||------|
