libonsrois artusdebre t aigne	-|---|---|----|-|---⌫-⌫----|
lac uipr oecenosensegn e	-|-⌫-|--⌫---|--|------⌫|
quenosso ionspreuet cor t ois	--|--|--⌫---|---|-|---⌫-⌫--|
tintcortsirichecomerois	---|---|-|----|---|---|
acele festequi	|---|----|--|
tantcou ste	---|---⌫--|
q enapelela	|-|----|-|
pente cous te	-----⌫----⌫-|
lacourtfuacardoeilengale s	-|----|-||-------|-|----⌫|
apresmengier parmil e s sales	----|------|----|-⌫-⌫|----|
licheualier	-|--------|
sa trop el erent	|-⌫----⌫--⌫----|
la oudames lesapelerent	-|-|----|--|--------|
etd am oiselesetpuc eles	-|-⌫--⌫------|-|---⌫---|
liunracon toie ntnouel es	-|-|-----⌫----⌫-|-----⌫-|
liautreparloient d amo rs	-|----|--------||---⌫-|
desetdes dolors	--|-|--|-----|
e tdes qu enonts ouent	-⌫|--|-|-|--|-⌫----|
l ideciple	-⌫|------|
delor couent	-|--|-----|
estoit r ichesetboens	-----|-⌫----|-|----|
amoutpoides	|---|--|--|
que abienpreslon ttui t lessie	--||---|---||--⌫|---⌫|-----|
senont amorsmoutabessie	|-|--|----|---|------|
carci lquisol oientamer	--|--⌫|--|---⌫----|---|
sefesoientcortoi sclamer	-|-------|------⌫|-----|
etsage et honorabl e	-|---|-|--------⌫|
orontamorstorné	-|--|----|-----|
p orce qu ec ilq ui	-⌫-|-|--⌫|-⌫-|-⌫-|
dientquilai mentmes	----|-|-|--⌫---|--|
fableetm enc ongeenfont	----|-|-⌫---⌫---|-|---|
enuant entet droitn	-|----⌫--|-|----||
parlerdece u zqui furent	-----|-|--⌫-⌫|--|-----|
lessons ceuz	------|---|
qu i enuiedurent	--⌫|-|--|-----|
quenco ruaut miex ce m	-|----⌫|---|---|-||
unscortoismorz quns uilainsuis	--|------|---||--|------|--|
ple staraconter	---⌫-||-------|
cho sequif et	---⌫-|--|-⌫-|
a escoute r	|-------⌫|
delroi qui fu de	--|--|--|-|-|
teltesmoig	--|------|
qenenp arolepreset	|-|-|-⌫----|---|-|
ita ntas breton s	---⌫-|-|------⌫|
quet oz i orsuiueralornons	--|-⌫-|-⌫--|-----|--|---|
etparluison tra me nteu	-|--|--|---⌫|--⌫--⌫---|
l i boncheualieresleu	-⌫|--|--------|----|
qu iporhonor	--⌫|--|----|
setrauelle rent	-|--------⌫---|
iorsesmer uelle rent	--||-----⌫-----⌫---|
delroiquidentreus	--|--|--||---|--|
de ti exqu imoutg reua	-|--⌫-|--⌫|---|-⌫---|
etquimout grant	-|--|---|----|
mu rmure enf ir ent	--⌫----|-|-⌫--⌫--|
porceqo nq ues mesne leuirent	--|-||-⌫--⌫--|--|-|-|-----|
a sigran tfe steenc hambre	|-|----⌫|--⌫--|-|-⌫-----|
p ordo r m irnepor reposer	-⌫-|--⌫-⌫-⌫-|-|--|------|
m escel ioreins i	-⌫-|--|--|----⌫|
r eine ledetint	-⌫---|-|-----|
sidemorat antdele zli	-|-----|-⌫--|----⌫|-|
oubliaetend or m i	-----|-|---⌫--⌫-⌫|
a luisde lachambr edefors	||--|-|-|------⌫|-----|
fuodinau ls etsegrenors	-|------⌫-|-|--------|
etkeus etmes	-|---|-|--|
si res gau uains	--⌫--|---⌫----|
eto uoecausmissireyuai ns	-|-⌫---|--|--|---|----⌫-|
fucalogr enan z	-|------⌫----⌫|
unscheu alie rsm outauen anz	--|----⌫----⌫-|-⌫--|----⌫--|
o tcommenciézzconte	-⌫|---------|-|----|
nonde s on ormesdesahon te	--|-||--⌫-|--|-|-|---⌫-|
quequecalogrenanz contoit	-----|----------|------|
etlareinelescou toit	-|-|----||-----⌫---|
s est dedelez	|--|-|----|
leroile uee	-|--|--⌫--|
etuintent r	-|---|---⌫|
eulssi ae m blee	---|-||-⌫-⌫---|
qa i n zquenuzlape ust	|-⌫-⌫-⌫---|--|-|--⌫--|
seles saele entrau scheoir	-|---⌫-|--|---|--⌫|-----|
fo rsque calo gren anzsan splus	--⌫----|----⌫----⌫--|---⌫|---|
saillienpiez contre lisus	-----|-|---|-----|-|--|
e tkeu squ imout	-⌫|---⌫|--⌫|---|
fu r ampronous	-|-⌫--------|
felet poignanz etaff itous	--|-|-------|-|---⌫----|
lidit pardeucalogrenant	-|--|--|--|----------|
moutuosuoilegieretfailla nt	---|--|--|-----|-|------⌫-|
e tcertes moutm	-⌫|-----|---||
estbelq ueuos	--|--|-⌫-|--|
es tesliplu s corto is	--⌫--|-|---⌫|-----⌫-|
etbi ensai queuoslecuidiez	-|--⌫-|--|--|--|-|------|
tant estesuos	---|----|--|
de senz uuidiez	-|---|------|
ces tdroizquemadame lecuit	|--⌫|----|--|-|---|-|---|
queuosaiez	--|--|---|
plusquenostuit	---|--|--|---|
de cor toisieet deproece	-|---⌫-----|-|-|-----|
nellessasmespaspor	-||--------|--|--|
espoirqueno s	-----|--|--⌫|
nenosleuasmes	-|--|-------|
ouespoirque	-|-----|--|
n osne degna smes	-⌫-|-|-----⌫---|
sirenonfeismes	---|--|------|
mespo rce que	--|--⌫|-|--|
l ueisme s	|------⌫|
ma d ame ainzfustesuosleuez	-|-⌫--|---|-----|--|----|
certesk ezuosfussiez creue z	-----|-⌫-|--|------|-----⌫|
se ne uospeus siez	-|-|--|----⌫---|
