liduxdebrabant·morsmestv	li dux de brabant · mors m est v
cuerentree·dechanteemaesmeu	cuer entree · de chantee m a esmeu
iaimoncuerrendu·ligement	i ai mon cuer rendu · ligement
·etsachentlagent·mercier·ne	· et sachent la gent · mercier · ne
doitondemonchan͛·forslicuii	doit on de mon chan͛ · fors li cui i
aimsi·quei	aim si · que i
enaietcueretcors>	en ai et cuer et cors >
joli·Seiai	joli · Se i ai
sentu·ilmeplaist	sentu · il me plaist
bienetagree·quanti	bien et agree · quant i
aisibienesleu·n	ai si bien esleu · n
·etloiaum̃t	· et loiaum̃t
amer·porlicuiiamsi·que	amer · por li cui i am si · que
ienai·Amorsest	i en ai · Amors est
onquesmaiznefu·siseruiraia	onques maiz ne fu · si seruirai a
retenutemprement·	retenu  temprement ·
amorousement·sanzfausser·car	amorousement · sanz fausser · car
ienepuis	ie ne puis
oublier·celicuiiaimsi·Qve·	oublier · celi cui i aim si · Qve ·
Etsmorslessuensauancedemoi	Et s mors les suens auance  de moi
lidoitsouenir	li doit souenir
·cariesui	· car ie sui
suenssanzfaillance·atoziors	suens sanz faillance · a toz iors
sanzrepentir·ententis·seraiṃẹṣ	sanz repentir · ententis · serai ṃẹṣ
ṭọụẓḍịṣduancier·amors	ṭọụẓ ḍịṣ  d uancier · amors
·etsonnomhaucier·por	· et son nom haucier · por
licuiiamsi·	li cui i am si ·
Qve·Adesmecroistmapoissance·etvolentez	Qve · Ades me croist ma poissance · et volentez
deseruir·sanzceli	de seruir · sanz celi
·neporraimieguarir	· ne porrai mie guarir
·saiquenepuiseslong͛·>deli	· sai que ne puis eslong͛ ·> de li
cuiiaim	cui i aim
si·Qve·Qvensiolisdeflandresamis·	si · Qve · Qvens iolis de flandres amis ·
·mesauriezvousꝯseillier·delicui	· me sauriez vous ꝯseillier · de li cui
iaimsi	i aim si 
queienai	que i en ai
etcueret	et cuer et
corsioli·e	cors ioli · e
Gilebertditessil	 Gilebert dites s il
vosagree	vos agree
·respondezmoia	· respondez moi a
ceq̃vous	ce q̃ vous
demant·vnsch̃rch̃rsavnedameamee	demant · vns ch̃rch̃rs a vne dame amee
estsiauant·quenuit	est si auant · que nuit
etiorfait	et ior fait
ontamorsladameabandonee·ditessamors	ont amors la dame abandonee · dites s amors
debraibantiaorrezmapensee·ia	de braibant ia orrez ma pensee · ia
boneamorsn	bone amors n
iraporcefaillant·ancoiz	ira por ce faillant · ancoiz
seroitenloialcuerdoublee·	seroit en loial cuer doublee ·
sonlifaisoitbonteetbiausamblant·	son li faisoit bonte et biau samblant ·
seladame	se la dame
adoneasonamant·ian	a done a son amant · ia n
enseraporceforsmieuzamee·sen	en sera por ce fors mieuz amee · s en
duxdebrabant	dux de brabant
HeGilebertouauezvos	He  Gilebert ou auez vos
trouee·cesteraison·tropvosvoinon	trouee · ceste raison · trop vos voi non
sachant·	sachant ·
lentientpl᷒⁹chierlachose	l en tient pl᷒ ⁹ chier la chose
ꝯaabandoneement·nemalezmiede	ꝯ a abandoneement · ne m alez mie de
ceaprendant·tant	ce aprendant · tant
estamors	est amors
·ꝯladamesegarde	· ꝯ la dame se garde
sainnemant·lividamesde	sainnemant · li vidames de
chartres·D	chartres · D
amoursvientioieethonoursenement·a	amours vient ioie et honours enement · a
ceusquisuntloialen	ceus qui sunt loial en
nepuetauoirentierement·prisnevalour·samours	ne puet auoir entierement · pris ne valour · samours
neleiustice·deceaibienlaverite	ne le iustice · de ce ai bien la verite
cuerloiaument·etameraisanznuldefinement	cuer loiaument · et amerai sanz nul definement 
madameetlisiest	ma dame et li  si est
lachoseemprise·Biendoitsauoirquitel	la chose emprise · Bien doit sauoir qui tel
amouremprent·quensoncuer	amour emprent · qu en son cuer
naitfaussete·	nait faussete ·
nautrescentlesqueusie	n autres cent  lesqueus ie
saiquemadameaimeet	sai que ma dame aime et
/>prise·dedenzmoncuerse	/> prise · dedenz mon cuer se
ralumeetatise·	ralume et atise ·
tresfine	tres fine
amours·	amours ·
quitout	qui tout
etsachiezvracl	et sachiez vracl
vraiementparbiau	vraiement  par biau
itelconquestementquespaigne	itel conquestement  qu espaigne
auiourquelibons	au iour que li bons
roislot	rois l ot
enfistsontalent·he	en fist son talent · he 
mestraiasamoursnuliourpramise·nepuiz	m estra ia samours nul iour pramise · ne puiz
sauoircõment·neenquelguise	sauoir cõment · ne en quel guise
·puisseauoirdautreamourmoncuerdolent	· puisse a uoir d autre amour mon cuer dolent
·quenbonespoira	· qu en bon espoir a
belconfortementquiteldame	bel confortement  qui tel dame
aime·et	aime · et
estasadeuise·7li	est asa deuise · 7 li
vidamesde	vidames de
vientetretrait·setropn	vient et retrait · se trop n
estdemaleaire·Lorschanteraiquepluz	est de male aire · Lors chanterai que pluz
nemenpuistaire	ne m en puis taire
·pourconfortermacruel	· pour conforter ma cruel
auenture·quimesttourneeagrantdesꝯfiture	auenture · qui m est tournee a grant desꝯ fiture
·Iaimet	· Iaim et
desircequidemoinacure·las	desir ce qui de moi n a cure · las
ielidis·amours	ie li dis · amours
lemefistfaire·ormehet	le me fist faire · or me het
ienelipuisplaire·orai	ie ne li puis plaire · or ai
ieditfoliesanzdroiture·quenbien	ie dit folie sanz droiture · qu en bien
amernedoitauoirmesure·Amadoleurn	amer ne doit auoir mesure · A ma doleur n
amestiercouuerture·sisuisouprisquenem	a mestier couuerture · si sui soupris que ne m
·cefont	· ce font
cemontfaitquilnepoent	ce m ont fait qu il ne poent
desfaire·neie	desfaire · ne ie
nepuisdelinuleamourtraire	ne puis de li nule amour traire
·sesfelonscuers	· ses felons cuers
quipoĩtnemasseure	qui poĩt ne m asseure
·mortmauerasesaguerreme	· mort m auera se sa guerre me
dure·Amoursamours·iemuir	dure · Amours amours · ie muir
etsanzdroiture·certesmamort	et sanz droiture · certes ma mort
vousdeueroitdesplaire·quarenvous	vous deueroit desplaire · quar en vous
aimisetoutemacure·etmonpenser	ai mise toute ma cure · et mon penser
dontialeiourcentpaire·sorvous	dont ia le iour cent paire · sor vous
deuoitmonbelseruiceplairesienseroit	deuoit mon bel seruice plaire  si en seroit
maioiepluz	ma ioie pluz
seureꝯdistpiecaquilestdetout	seure  ꝯ dist pieca qu il est de tout
mesure·Qvecrueus	mesure · Qve crueus
faitsescuers	fait ses cuers
silliotroie	s il li otroie
ne·quen	ne · qu en
toutlemontnelidemanderoie·rienzfors	tout le mont ne li demanderoie · rienz fors
samour·quiala	s amour · qui a la
mortmemainne	mort me mainne
·selemocitsiferaque	· s ele m ocit si fera que
est·quepourlimorir	est · que pour li morir
doieceestlamort	doie  ce est la mort
