P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
CONSTANTINIMA GNI/NAZARII/ ANONYMI / S .	----------|--⌫--||------||------||-⌫|
SI Lu E STR IPAPAE/S.	--⌫--⌫-⌫---⌫|----||-|
TO MUSUNICUS.	--⌫--|------|
PARISII S, EX CUD EBATu RAYET,INuIA DICTAD' AMBO ISE, PRES LABARR IERED'ENFER.	-------⌫-|--⌫---⌫---|-⌫-----|-|--|----|--⌫----⌫---|---|-|----⌫---|-------|
OUPETIT-MONT ROUGE.	-|----------⌫-----|
SIuE BIBLIOTHECAUNIuERSALIS, INTEGRA, UNIFORMIS,CO MMODA,eCONOMIC A, OMNIU MSS.	---|----------|-----------|-------|---------|--⌫-----|--------⌫-|-----⌫|--|
P ATRUM,DOCTORUMSC RIPTORUMQUE ECCLESIASTICORUMQU IAB A E uOAPOST OLICO ADUSQUEINNOCE NTIII IITEMPORA FLORUERUN T,RECUSIOC HRONOLOGICA OMN IUMQUAEEXS TITEREMONUME NTORUM CATHOLICAETR A DIT IONISPERDUO DECIMPRIORAECCLESIAESAECULA ,I UNTA EDITIONES ACC URATISSIMAS,IN TER SECUMQUENONNUL LIS CODI CIBUSMANUSCRI PTIS COL LATA S,PERQUAM DILIGENTER CASTIGAT A;	-⌫-----|-------|--⌫----------|---------------|--⌫|-|-⌫-⌫-|-----⌫----|-|----|------⌫---|-⌫-|------|---------⌫-|------|-⌫----------|---⌫--|---|---⌫-----|------⌫-----|---------|--⌫-⌫---⌫----|--|---⌫----|-----|--------|-------⌫|-⌫---|--------|---⌫-----------|--⌫--|-|-----|------⌫--|----⌫----|--------⌫---|---⌫----⌫-|------|---------|--------⌫-|
DI SSERTATI ONIBU S ,COM MENTARIISLECTIONI BUSQUE uARIANT IBU SCONT I NENTERILLU STRATA;	--⌫--------⌫-----⌫-⌫|---⌫--------|--------⌫-----|-------⌫---⌫|----⌫-⌫-----|----⌫------|
OM NIBUSOP ERIBUSPO ST AMPLISSIMAS EDITIONESQUAETRIBUS NOu ISSIMISSAECULISDEBENTURABSOLUTAS DETECTI S,AUCTA;	--⌫----|--⌫-----|--⌫-|----------|--------|---|-----|---⌫------|-------|-------|--------|-------⌫-|-----|
IN DICIBUSPARTICULAR IBUS ANALYT ICIS, SINGULOS SIuETOMOS,SIuE AUCTORESALICUIUSMOMENTISU B S EQUENTIB US ,DON AT A;	--⌫------|----------⌫---|------⌫----|-------|---|-----|---|-------|-------|------|--⌫-⌫-⌫--------⌫--⌫|---⌫--⌫-|
CA PITULISINTRAIPSU MTEXTUMRI TEDISPOSITIS,NECN ONETTITU LIS SI NGUL ARUMPA GIN ARUMMAR GINEMSUPERIOREM DISTINGUENTIBUSSUBIECT AMQUE MATERIAMSIG NIFICANTIBU S, ADORNATA.	--⌫------|----|----⌫|-----|--⌫-|----------|----⌫-|-|----⌫--|--⌫----⌫---|--⌫---⌫---|---⌫----|---------|--------------|-------⌫----|-------|---⌫-----------⌫-|--------|
IN QUAPRO DEUNT PATRES,DOCT ORESSCRIP TORESQUEECCLES IAEL ATINAE ATERT ULLIANOADGREGORIUMMAGNUM.	-|--|---⌫----|------|----⌫---|-----⌫-------|------⌫--|-⌫-----||----⌫------|-|--------|------|
ACCUR ANT EI.	-----⌫---⌫|-|
PATROLOGIAE TOMUSuIII.	----------|----|----|
TO MUSUN ICU S.	--⌫--|--⌫---⌫-|
PA RISIIS, EXCUDEB ATuRAYE T, IN uIADI CT AD'AMBOISE,PR ESL A BARRIERE D'ENFER.	--⌫------|-------⌫-|-----⌫-|-|--|--⌫--⌫|---------|--⌫-|-⌫|-------|-------|
OUPET IT-M ONTROUGE.	-|---⌫----⌫--------|
ETPOTAMII.	-|-------|
TOMI CUSUNI CUS.	----⌫--|---⌫---|
PARISI IS,E XCUDE BATuRAYE T,INuIA DI CTAD'AM BOISE, P RESLA BARRIERED' ENFER.	------⌫--|-⌫-----⌫--|-----⌫-|-|--|--⌫--|----⌫-----|-⌫--|-|-------|--⌫-----|
OUPETIT-MONTROUGE.	-|---------------|
ELENCHUSOPERUMQUAEINHOC TOMO CONTINENTUR.	-------|-----|---|-|--|---|-----------|
Eusebi iPam phili libri quatuo r de uitaConstantini.	------⌫|---⌫----|----|------⌫|-|---|-----------|
Constantini decreta et constituti ones.	----------|------|-|----------⌫----|
Constantinimag niconciones.	----------|---⌫-|---------|
Consta ntiniMagniepistole.	------⌫----|----|--------|
P anegyricusC onstanti ni auctor e Nazario.	-⌫---------|-⌫--------⌫-|------⌫|-------|
Panegyriciueteresabaliis Const anti nodicti.	---------|------|-|----|-----⌫----⌫-|-----|
Mon umentauet eraad hist oriamdonatistar um pertinenti a.	---⌫-----|---⌫--|-|----⌫----|----------⌫-|----------⌫-|
Ano ny miItinerariumB urd egalense.	---⌫--⌫-|----------|-⌫---⌫--------|
uictor ini liberad Iustinu m manicheum.	------⌫--|----|-|-------⌫|---------|
Eiu sdemt ractatus de uerbis:Factume st uespereetmanediesun us .	---⌫---|-⌫-------|-|------|-----|-⌫-|------|-|---|---|--⌫--⌫|
CandidiAria niliberde generationediuina.	------|----⌫-|----|-|----------|------|
ui c torini liberdegenera tionediui ni uerbi.	--⌫-⌫-----|----|-|------⌫----|----⌫-|-----|
CandidiA rianiepistola aduic torinum.	------|-⌫----|-------|-|---⌫-------|
ui ctoriniaduersusArium libriquatuor.	--⌫------|-------|----|----|-------|
Eiusde m tractatus de.	------⌫|--------|-||
E iusde md eTr initatehym ni tres .	-⌫-----⌫|-⌫|--⌫------|---⌫-|----⌫|
Ei usde m lib r iduoin epistolam adGal atas.	--⌫----⌫|---⌫-⌫|--|-|--------|-|---⌫----|
E iusdem liberinepistolam adPhilippenses.	-⌫-----|----|-|--------|-|------------|
Eiusdemlibri duo inEpis tolama dEph esios.	------|----|--|-|----⌫----|-⌫|---⌫-----|
E iusdemliber dePhysicis.	-⌫-----|----|-|--------|
Osi us co rdubensis.	---⌫-|--⌫---------|
Li beriusp a pa.	--⌫-----|-⌫-⌫--|
Potamii tractatusde Lazaro.	------|--------|-|------|
E iusdemtractatusde m artyrio Is aie.	-⌫-----|--------|-|-⌫------|--⌫---|
Eiusdemepistola adAthanas iu m.	------|-------|-|-------⌫--⌫-|
[OPERA OMNIACONSTANTINI.	-----|----|-----------|
LI BE RPRIMU S.	--⌫--⌫|-----⌫-|
AR GUMENT UM.	--⌫------⌫--|
---CA P U TPR IMUM.	-----⌫-⌫-⌫|--⌫----|
Pro e mium, demorteimperat or i sConstantini .	---⌫-⌫----|-|----|-------⌫--⌫-⌫|-----------⌫|
D e f iliis eiusimperat oribus.	-⌫|-⌫----|---|-------⌫------|
DeDeopiosprincipes honor ante, e ttyrannospunie nte.	-|--|---|--------|-----⌫----|-⌫|-------|-----⌫---|
Q uod DeusConstantinumhonorauerit.	-⌫--|---|-----------|-----------|
Q uo dXXXquidem annisregna uit: uixitau templusquamLX.	-⌫--⌫|--|-----|----|-----⌫---|----|--⌫--|-------|--|
