tandus.siuisum	tandus . si uisum
fueritexpedire	fuerit expedire
.caueat	. caueat
etiamdiligenter.neadexcomunicationemcuiusquam.	etiam diligenter . ne ad excomunicationem cuiusquam .
absquemanifestaetrationabilicausaprocedat.adquamsi	absque manifesta et rationabili causa procedat . ad quam si
taliterforteprocesserit:etrequisitus.humiliter	taliter forte processerit : et requisitus . humiliter
processumhuiusmodinoncuraueritabsquegrauamine	processum huiusmodi non curauerit absque grauamine
reuocare:granatus:	reuocare : granatus :
aputsuperioremdeponatdeiniusta	aput superiorem deponat de iniusta
excomunicationequerelam.	excomunicatione querelam .
quodsiabsquepericulomorepotest	quod si absque periculo more potest
:adexcomunicatorem.	: ad excomunicatorem .
illumcumsuomandatoremittat.infracompetentem	illum cum suo mandato remittat . infra competentem
terminumabsoluendum.alioquinipseperse.uelper	terminum absoluendum . alioquin ipse per se . uel per
aliumprout	alium prout
uideritexpedire:sufficienticautionerecepta:	uiderit expedire : sufficienti cautione recepta :
munuseiabsolutionisimpendat.cumqueaduersusexcommunicatoremde	munus ei absolutionis impendat . cumque aduersus excommunicatorem de
iniustaexcomunicationeconstiterit:	iniusta excomunicatione constiterit :
excommunicatorcondempnetur	excommunicator condempnetur
excommunicatoadinteresse.aliasnichilominuscumculpequalitaspostulauerit	excommunicato ad interesse . alias nichilominus cum culpe qualitas postulauerit
:superiorisarbitriopuniendus	: superioris arbitrio puniendus
.cumnonleuis	. cum non leuis
sitculpatantaminfligerepenaminsonti	sit culpa tantam infligere penam insonti
:nisiforsanerraueritexcausaprobabili.maxime	: nisi forsan errauerit ex causa probabili . maxime
silaudabilisopinionisexistat.uerumsi	si laudabilis opinionis existat . uerum si
contraexcomunicationissententiamnichil	contra excomunicationis sententiam nichil
rationabilefueritaconquerenteprobatum	rationabile fuerit a conquerente probatum
:idem.etsuperiniustaexcomunicationismolestia.	: idem . et super iniusta excomunicationis molestia .
perpenamad	per penam ad
interesse.uelaliamsecundumsuperiorisarbitrium.nisiforsan	interesse . uel aliam secundum superioris arbitrium . nisi forsan
etipsumprobabiliserrorexcuset.	et ipsum probabilis error excuset .
etsupereopro	et super eo pro
quoinstafuitexcommunicationeligatus:percautionem	quo insta fuit excommunicatione ligatus : per cautionem
receptamsatisfacerecompellatur.uelinpristinamreducatur	receptam satisfacere compellatur . uel in pristinam reducatur
sententiam:usque	sententiam : usque
adsatisfactionemcondignaminuiolabiliterobseruandam.	ad satisfactionem condignam inuiolabiliter obseruandam .
siueroiudexsuumrecognoscenserrorem.	si uero iudex suum recognoscens errorem .
paratussittalemreuocaresententiam.et	paratus sit talem reuocare sententiam . et
isproquo	is pro quo
latafuerit	lata fuerit
.neabsquesatisfactione	. ne absque satisfactione
reuocetillamappellet.	reuocet illam appellet .
appellationinondeferatinhacparte:nisitalis	appellationi non deferat in hac parte : nisi talis
siterror.de	sit error . de
quomeritoualeatdubitari	quo merito ualeat dubitari
.ettunc	. et tunc
sufficienticautionerecepta.quodcoram	sufficienti cautione recepta . quod coram
eoadquem	eo ad quem
extiteritappellatum:ueldelegatoab	extiterit appellatum : uel delegato ab
ipso.iuripareatexcommunicatum	ipso . iuri pareat excommunicatum
absoluat.sicquepeneprescripteminime	absoluat . sicque pene prescripte minime
subiacebit.cauensomninoneuoluntateperuersainalterius	subiacebit . cauens omnino ne uoluntate peruersa in alterius
preiudiciummentiaturerrorem.sidistrictionis	preiudicium mentiatur errorem . si districtionis
canoniceuulteffugeredisciplinam	canonice uult effugere disciplinam
.Demodorecusandiiudicem	. De modo recusandi iudicem
Dumspecialisit	Dum speciali sit
prohibitioneprouisum.nequisinaliquem	prohibitione prouisum . ne quis in aliquem
excomunicationissententiam	excomunicationis sententiam
nisicompetenticommonitionepremissa.promulgarepresumat:uolentes	nisi competenti commonitione premissa . promulgare presumat : uolentes
etiamprouidere	etiam prouidere
.nefortecommonitusfrustratorierecusationisuelappellationis	. ne forte commonitus frustratorie recusationis uel appellationis
obiectu:monentisdeclinarepossitexamen:	obiectu : monentis declinare possit examen :
statuimus.quodsiallegauerit.se	statuimus . quod si allegauerit . se
iudicemhaberesuspectum.	iudicem habere suspectum .
corameodemcausamsuspicionisiusteassignet.	coram eodem causam suspicionis iuste assignet .
etipsecumaduersario.uelsi	et ipse cum aduersario . uel si
aduersariumfortenonhabet:cumiudicearbitros	aduersarium forte non habet : cum iudice arbitros
communitereligat.autsicommuniterconuenire	communiter eligat . aut si communiter conuenire
nonpossunt:eligantabsquemalitia.ipseunum.	non possunt : eligant absque malitia . ipse unum .
etillealium.quidesuspicionis	et ille alium . qui de suspicionis
causacognoscant.Etsi	causa cognoscant . Et si
nequiuerintinunamconcordaresententiam:	nequiuerint in unam concordare sententiam :
aduocenttertium	aduocent tertium
.utquodduoexipsisdecreuerint	. ut quod duo ex ipsis decreuerint
:roburobtineatfirmitatis.sciantqueseadid	: robur obtineat firmitatis . sciantque se ad id
fideliterexequendum.exiniunctonobisinuirtuteobedientie	fideliter exequendum . ex iniuncto nobis in uirtute obedientie
.subobtestationediuiniindiciidistrictopreceptoteneri	. sub obtestatione diuini indicii districto precepto teneri
.causauerosuspicionislegitima.	. causa uero suspicionis legitima .
coramipsisinfracompetentem	coram ipsis infra competentem
terminumnonprobata:suaiuridictioneiudexutatur.	terminum non probata : sua iuridictione iudex utatur .
atipsaprobatalegitime.derecusatorisassensu.persone	at ipsa probata legitime . de recusatoris assensu . persone
ydoneecommittatnegotiumrecusatus.	ydonee committat negotium recusatus .
ueladsuperioremtransmittat.utineoipseprocedat	uel ad superiorem transmittat . ut in eo ipse procedat
.secundumquod	. secundum quod
fueritprocedendum	fuerit procedendum
.porroexcommunicatio	. porro excommunicatio
adappellationisobstaculumconuolante.sieius	ad appellationis obstaculum conuolante . si eius
excessuseuidentiareiuelipsiusconfessione	excessus euidentia rei uel ipsius confessione
.uelaliomodolegitime	. uel alio modo legitime
fueritmanifestus:cumappellationisremediumnonsitaddefensionem	fuerit manifestus : cum appellationis remedium non sit ad defensionem
iniquitatis.sedpresidiuminnocentieinstitutum:	iniquitatis . sed presidium innocentie institutum :
nonestprouocationihuiusmodideferendum.Excessuquoquedubioexistente	non est prouocationi huiusmodi deferendum . Excessu quoque dubio existente
.nefriuoleappellationisdiffugioappellansiudicis	. ne friuole appellationis diffugio appellans iudicis
processumimpediat.corameodemprobabilemcausamappellationisexponat	processum impediat . coram eodem probabilem causam appellationis exponat
.talemuidelicet.quesiforetprobata:	. talem uidelicet . que si foret probata :
possetlegitimareputarietsitunchabueritaduersariuminfra	posset legitima reputari et si tunc habuerit aduersarium infra
terminumsecundumlocorumdistantiamettemporisqualitatemet	terminum secundum locorum distantiam et temporis qualitatem et
naturamnegotii.abeodemiudicemoderandum	naturam negotii . ab eodem iudice moderandum
appellationeinterpositaprosequatur.quamsiprosequinoncurauerit	appellatione interposita prosequatur . quam si pro sequi non curauerit
:extunc.	: ex tunc .
ipseiudexnonobstanteprocedat.	ipse iudex non obstante procedat .
nulloautemaduersariocomparente.cum	nullo autem aduersario comparente . cum
iudexexsuo	iudex ex suo
officioprocedatappellationiscausacoramsuperiore	officio procedat appellationis causa coram superiore
probata:superiorsue	probata : superior sue
iuridictionisofficiumexequatur.sedetsiappellansin	iuridictionis officium exequatur . sed et si appellans in
eiusprobationedefecerit:ad	eius probatione defecerit : ad
eumaquoipsummalitioseappellasseconstiterit:reuertatur	eum a quo ipsum malitiose appellasse constiterit : reuertatur
.ceterum.hasduasconstitutionespremissas	. ceterum . has duas constitutiones premissas
.nolumusadregularesextendi	. nolumus ad regulares extendi
contrasuasobseruantiasspeciales	contra suas obseruantias speciales
.Depenaexcommunicationis	. De pena excommunicationis
iniuste	in iuste
Subinterminationediuiniindicii	Sub interminatione diuini indicii
penitusinterdicimus.ne	penitus interdicimus . ne
causacupiditatisnullusaudeatexcommunicationisuinculoaliqueminnodare.	causa cupiditatis nullus audeat excommunicationis uinculo aliquem innodare .
uelabsoluereinnodatum:inillismaximeregionibus	uel absoluere innodatum : in illis maxime regionibus
inquibusexconsuetudine	in quibus ex consuetudine
cumexcommunicatusabsoluiturpecuniariapenamulctantur.statuentesut	cum excommunicatus absoluitur pecuniaria pena mulctantur . statuentes ut
cumexcommunicationissententiaminiustamfuisse	cum excommunicationis sententiam iniustam fuisse
constiterit.excomunicatoradrestituendam	constiterit . excomunicator ad restituendam
pecuniamsicextortam.	pecuniam sic ex tortam .
per.cen.ec.compellatur	per . cen . ec. compellatur
.etnisi	. et nisi
fueritprobabili	fuerit probabili
erroredeceptus.tamtundeminiuriam	errore deceptus . tamtundem iniuriam
passopersoluat.etsi	passo persoluat . et si
fortesoluendononfuerit.animaduersionealia	forte soluendo non fuerit . animaduersione alia
castigetur.	castigetur .
DerestrictaprohibitioneNondebetreprehensibilematrimonii	De restricta prohibitione Non debet reprehensibile matrimonii
iudicari.sisecundum	iudicari . si secundum
uarietatemtemporumstatutaquoqueuarienturhumana.	uarietatem temporum statuta quoque uarientur humana .
presertimcum	presertim cum
urgensnecessitas.ueleuidensutilitas	urgens necessitas . uel euidens utilitas
idexposcat.quoniamipse	id exposcat . quoniam ipse
deusexhiisquein	deus ex hiis que in
ueter.terre.statuerat:non	ueter . terre . statuerat : non
nullamutauitinnouo.cumergoprohibitiones	nulla mutauit in nouo . cum ergo prohibitiones
deconiugioinsecundoet	de coniugio in secundo et
tertioaffinitatisgenere.minime	tertio affinitatis genere . minime
contrahendo:etdesobolesuscepta.	contrahendo : et de sobole suscepta .
exsecundisnuptiis	ex secundis nuptiis
.cognationiuirinoncopulanda.priorisdifficultatemfrequenterinducant	. cognationi uiri non copulanda . prioris difficultatem frequenter inducant
.etaliquandopericulumpariantanimarum.	. et aliquando periculum pariant animarum .
utcessanteprohibitione.cesseteffectus	ut cessante prohibitione . cesset effectus
:constitutionessuperhoceditas.sacricomprobationeconcilii	: constitutiones super hoc editas . sacri comprobatione concilii
reuocantes:presenticonstitutionedecernimus.utsiccontrahentes.	reuocantes : presenti constitutione decernimus . ut sic contrahentes .
deceteroliberecopulentur.prohibitioquoquecopule	de cetero libere copulentur . prohibitio quoque copule
coniugalis.quartumconsanguinitatisetaffinitatisgradumnonexcedat	coniugalis . quartum consanguinitatis et affinitatis gradum non excedat
.quoniaminulterioribusgradibus	. quoniam in ulterioribus gradibus
iamnonpotestabsquegrauidispensiohuius	iam non potest absque graui dispensio huius
prohibitioobseruari:Quaternariusenim	prohibitio obseruari : Quaternarius enim
numerusbenecongruitprohibitioniconiugiicorporalis	numerus bene congruit prohibitioni coniugii corporalis
.dequodicitapostolus.quoduirnonhabet	. de quo dicit apostolus . quod uir non habet
potestatemsuicorporis	potestatem sui corporis
.sedmulier.neque	. sed mulier . neque
mulierhabetpotestatemsuicorporis.seduir	mulier habet potestatem sui corporis . sed uir
.Quia.iiii.sunthumoresin	. Quia . iiii . sunt humores in
corpore.quodconstatexquatuorelementis.cum	corpore . quod constat ex quatuor elementis . cum
ergoiamusqueadquartumgradumprohibitioconiugalis	ergo iam usque ad quartum gradum prohibitio coniugalis
copulesitrestricta	copule sit restricta
:eamuolumusitaesseperpetuam.	: eam uolumus ita esse perpetuam .
nonobstantibusconsultationibussuperhoc	non obstantibus consultationibus super hoc
dudumeditis.uel	dudum editis . uel
abaliis.uelanobis:ut	ab aliis . uel a nobis : ut
siquiscontraprohibitionemhuiusmodipresumpseritcopularinulla	siquis contra prohibitionem huiusmodi presumpserit copulari nulla
longinquitatedefendanturannorum.	longinquitate defendantur annorum .
cumquidemdiuturnitastemporisnonminuat	cum quidem diuturnitas temporis non minuat
peccatum.	peccatum .
sedaugeat.tantoquegrauiorasint	sed augeat . tantoque grauiora sint
crimina:quantodiutius.infelicemanimamtenuerintalligatam	crimina : quanto diutius . infelicem animam tenuerint alligatam
destinamatrimoniaDepenacontrahentium	destina matrimonia De pena contrahentium
clamuminhibitiocopuleconiugalis	clamum inhibitio copule coniugalis
sitintribusultimisgradibusreuocata:eamuolumus	sit in tribus ultimis gradibus reuocata : eam uolumus
inaliisdistricte	in aliis districte
seruari.undepredecessorumnostroruminherendo	seruari . unde predecessorum nostrorum inherendo
uestigiis.clandestinaconiugiapenitusinhibemus.	uestigiis . clandestina coniugia penitus inhibemus .
prohibentesetiam	prohibentes etiam
.nequissacerdos	. ne quis sacerdos
talibusinteressepresumat	talibus inter esse presumat
.quarespecialemquorundamlocorumconsuetudinem.ad	. quare specialem quorundam locorum consuetudinem . ad
aliageneraliterprorogando	alia generaliter prorogando
.statuimusutcummatrimoniafuerintcontrahenda:in	. statuimus ut cum matrimonia fuerint contrahenda : in
ecclesiisperpresbiteros	ecclesiis per presbiteros
publiceproponatur	publice proponatur
.competentiterminoprefinito.utinfraillum:qui	. competenti termino prefinito . ut infra illum : qui
uolueritetualuerit	uoluerit et ualuerit
:legitimumimpedimentumopponat	: legitimum impedimentum opponat
.etipsipresbiterinichilominusinuestigentutrumaliquodimpedimentum	. et ipsi presbiteri nichilominus inuestigent utrum aliquod impedimentum
obsistat.cumergoprobabilisapparuerittexta:statuimus	obsistat . cum ergo probabilis apparuerit texta : statuimus
uttales	ut tales
perprelatosecclesiarumabobseruantiaueterisrituscompescantur	per prelatos ecclesiarum ab obseruantia ueteris ritus compescantur
.utquos	. ut quos
christianereligionilibereuoluntatisarbitriumobtulit.salutiferecoactionisnecessitas	christiane religioni libere uoluntatis arbitrium obtulit . salutifere coactionis necessitas
ineiusobseruationeconseruet	in eius obseruatione conseruet
.cumminusmalum	. cum minus malum
existatuiamdomininonagnoscere.quamagnitam:	existat uiam domini non agnoscere . quam agnitam :
retroireproliberationesancteterre.adliberandumsanctam	retroire pro liberatione sancte terre . ad liberandum sanctam
terramdemanibusimpiorum:ardenti	terram de manibus impiorum : ardenti
desiderioaspirantes:deprudentumuirorumquiplene	desiderio aspirantes : de prudentum uirorum qui plene
